col1,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob,H_alfa,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
3,3,62.60206,53.148968,2.0,13.44,12.65,12.28,11.77,11.67,11.11,10.98,10.92,3.00,0.03,0.0,J041024.47+530856.0,62.6019922,53.1488949,0.0401,0.0361,176.7,10.849,10.859,10.789,9.022,0.023,0.02,0.099,,0.023,0.027,0.021,616153001351027876,0000,0,nnnn,AAAU,-47,40,15,38,0.301,0.301063
63,63,62.6371456,53.2695142,2.0,14.58,14.31,13.28,13.0,12.75,11.9,11.66,11.58,63.00,0.01,0.0,J041032.91+531610.2,62.6371471,53.2695204,0.0419,0.0386,6.2,11.484,11.494,11.283,8.883,0.023,0.022,0.21,,0.021,0.029,0.027,616153001351051862,0000,0,00nn,AABU,84,47,69,46,0.06,0.02255
842,844,62.6947481,51.6886125,2.0,13.74,13.1,12.37,12.16,12.07,11.53,11.4,11.35,842.00,0.09,0.0,J041046.74+514118.9,62.6947551,51.6886098,0.0407,0.0385,4.7,11.287,11.33,11.617,9.162,0.023,0.023,0.206,,0.019,0.029,0.023,619151401351042305,0000,0,00nn,AABU,8,46,26,48,0.173,0.018397
253,253,62.865662,54.628332,2.0,15.1,15.15,13.26,12.94,12.66,11.78,11.57,11.42,253.00,0.03,0.0,J041127.75+543742.0,62.8656405,54.6283389,0.0408,0.0382,17.2,11.383,11.4,11.957,9.205,0.023,0.022,0.36,,0.023,0.031,0.02,638154501351037314,00P0,0,00nn,AACU,-54,43,14,43,0.08,0.051145
158,158,62.865929,53.370102,2.0,13.78,13.71,12.79,12.4,12.22,11.58,11.39,11.34,158.00,0.05,0.0,J041127.82+532212.1,62.8659427,53.3700315,0.0375,0.0325,7.9,11.274,11.306,11.772,8.467,0.021,0.019,0.255,,0.023,0.024,0.027,616153001351051854,0000,0,nnnn,AABU,98,38,28,38,0.297,0.25559
793,795,62.930491,52.872729,2.0,14.33,14.16,13.48,13.24,13.15,12.54,12.43,12.32,793.00,0.17,0.0,J041143.32+525221.8,62.9305217,52.8727391,0.0429,0.0412,18.4,12.246,12.293,12.037,9.113,0.023,0.024,0.311,,0.024,0.031,0.025,641153001351037152,0000,0,00nn,AABU,72,54,42,56,0.062,0.075985
51,51,62.934165,52.989403,2.0,14.73,14.54,13.8,13.55,13.43,12.73,12.55,12.43,51.00,0.19,0.0,J041144.19+525921.8,62.9341648,52.9894105,0.0458,0.0422,171.2,12.394,12.443,12.515,9.132,0.024,0.025,,,0.023,0.03,0.027,641153001351036433,0000,0,00nn,AAUU,27,59,107,57,0.131,0.027075
563,564,62.9341756,52.9894031,2.0,14.73,14.54,13.8,13.55,13.43,12.73,12.55,12.43,563.00,0.19,0.0,J041144.19+525921.8,62.9341648,52.9894105,0.0458,0.0422,171.2,12.394,12.443,12.515,9.132,0.024,0.025,,,0.023,0.03,0.027,641153001351036433,0000,0,00nn,AAUU,27,59,107,57,0.131,0.035567
170,170,62.945788,53.990082,2.0,14.44,14.58,12.98,12.58,12.41,11.51,11.24,11.07,170.00,0.16,1.0,J041146.99+535924.2,62.9457963,53.9900826,0.0386,0.0353,9.8,11.017,10.915,10.114,8.316,0.023,0.02,0.069,0.338,0.024,0.029,0.021,638154501351010552,0000,0,791n,AAAB,1,42,-55,41,0.079,0.017607
161,161,63.085503,54.472062,2.0,14.9,16.26,13.03,12.72,12.42,11.54,11.35,11.23,161.00,0.01,0.0,J041220.47+542819.7,63.0853215,54.4721467,0.0384,0.0351,3.4,10.93,10.958,10.833,8.585,0.022,0.02,0.107,,0.032,0.039,0.028,638154501351034477,0000,1,001n,AAAU,54,40,-62,40,0.633,0.486874
252,252,63.0855808,54.4720278,2.0,14.9,16.26,13.03,12.72,12.42,11.54,11.35,11.23,252.00,0.01,0.0,J041220.47+542819.7,63.0853215,54.4721467,0.0384,0.0351,3.4,10.93,10.958,10.833,8.585,0.022,0.02,0.107,,0.032,0.039,0.028,638154501351034477,0000,1,001n,AAAU,54,40,-62,40,0.633,0.690891
872,874,63.128233,54.14523,2.0,14.78,14.32,13.08,12.8,12.5,11.5,11.3,11.15,872.00,0.03,0.0,J041230.77+540842.8,63.1282198,54.1452341,0.0397,0.0359,177.6,11.047,11.022,10.97,8.849,0.022,0.021,0.111,,0.022,0.027,0.026,638154501351015387,0000,0,110n,AABU,0,43,0,41,0.028,0.031439
167,167,63.230508,54.437425,2.0,15.46,15.28,13.68,13.36,13.03,12.14,11.89,11.78,167.00,0.0,0.0,J041255.32+542614.6,63.2305245,54.4374161,0.0408,0.0381,9.1,11.684,11.712,12.307,9.182,0.023,0.022,0.374,,0.02,0.019,0.02,638154501351035059,dd00,0,01nn,AACU,-92,46,-104,46,0.128,0.047236
169,169,63.247689,52.777422,2.0,13.55,13.63,12.92,12.67,12.54,11.9,11.75,11.67,169.00,0.05,0.0,J041259.44+524638.6,63.2476915,52.7774001,0.0411,0.0384,20.1,11.619,11.631,11.538,8.843,0.024,0.022,0.21,,0.025,0.03,0.021,641153001351012719,0000,0,00nn,AABU,51,47,-21,48,0.042,0.079114
1000,1002,63.257838,53.398433,2.0,14.72,13.67,12.87,12.65,12.47,11.82,11.66,11.62,1.000.00,0.01,0.0,J041301.87+532354.3,63.2578326,53.3984375,0.0413,0.0383,1.6,11.488,11.503,11.65,9.06,0.023,0.023,0.247,,0.024,0.029,0.023,641153001351039146,0000,0,11nn,AABU,34,45,75,44,0.084,0.019862
258,258,63.3116411,53.0755397,2.0,13.08,13.06,12.52,12.1,12.07,11.61,11.53,11.47,258.00,0.21,0.0,J041314.79+530432.0,63.3116368,53.0755801,0.039,0.0364,11.2,11.451,11.519,11.262,8.856,0.023,0.021,0.157,,0.022,0.029,0.023,641153001351036478,hh00,0,220n,AABU,54,44,-12,44,0.129,0.145808
504,505,63.319951,52.35285,2.0,14.32,13.99,13.25,12.93,12.71,11.79,11.54,11.4,504.00,0.03,0.0,J041316.79+522110.2,63.3199722,52.3528417,0.0499,0.0458,123.4,11.325,11.28,11.314,9.065,0.026,0.027,0.168,,0.024,0.029,0.025,641153001351009984,0000,0,00nn,AABU,-73,48,177,57,0.126,0.05534
803,805,63.3199636,52.3528436,2.0,14.32,13.99,13.25,12.93,12.71,11.79,11.54,11.4,803.00,0.03,0.0,J041316.79+522110.2,63.3199722,52.3528417,0.0499,0.0458,123.4,11.325,11.28,11.314,9.065,0.026,0.027,0.168,,0.024,0.029,0.025,641153001351009984,0000,0,00nn,AABU,-73,48,177,57,0.126,0.020052
348,349,63.355208,52.266611,2.0,15.33,15.22,14.37,13.95,13.76,12.87,12.6,12.48,348.00,0.09,0.0,J041325.25+521559.8,63.355215,52.2666148,0.0435,0.0401,173.8,12.418,12.446,12.319,9.223,0.023,0.024,,,0.026,0.031,0.028,641153001351007312,0000,0,11nn,AAUU,-49,56,25,56,0.061,0.020526
251,251,63.4037767,52.7429414,2.0,14.12,13.27,12.35,11.51,11.87,11.0,10.71,10.41,251.00,1.0,1.0,J041336.91+524434.5,63.403792,52.7429431,0.0362,0.034,8.3,10.146,9.853,9.103,7.923,0.023,0.02,0.029,0.183,0.023,0.027,0.021,641153001351015384,0000,0,880n,AAAB,71,46,32,45,0.197,0.033958
160,160,63.40378,52.742943,2.0,14.12,13.27,12.35,11.51,11.87,11.0,10.71,10.41,160.00,1.0,1.0,J041336.91+524434.5,63.403792,52.7429431,0.0362,0.034,8.3,10.146,9.853,9.103,7.923,0.023,0.02,0.029,0.183,0.023,0.027,0.021,641153001351015384,0000,0,880n,AAAB,71,46,32,45,0.197,0.026207
455,456,63.4747006,52.9521508,2.0,14.99,14.54,13.72,13.52,13.42,12.85,12.7,12.62,455.00,0.21,0.0,J041353.93+525707.7,63.4747266,52.9521588,0.044,0.0419,6.3,12.504,12.515,11.792,8.812,0.023,0.025,,,0.023,0.027,0.03,641153001351033834,0000,0,11nn,AAUU,54,58,11,58,0.084,0.063254
418,419,63.478992,53.386174,2.0,14.64,16.35,13.23,12.98,12.82,12.2,12.02,11.94,418.00,0.01,0.0,J041354.98+532310.3,63.4791178,53.3862053,0.0422,0.0389,1.1,11.754,11.734,11.899,8.539,0.023,0.022,0.271,,0.026,0.024,0.023,641153001351041823,0000,1,00nn,AABU,-22,47,80,46,0.285,0.292592
1053,1055,63.513223,53.459962,2.0,14.65,15.97,12.98,12.7,12.5,11.77,11.61,11.46,1.053.00,0.01,1.0,J041403.17+532735.7,63.5132126,53.4599402,0.0418,0.0383,173.1,11.38,11.385,11.751,9.196,0.023,0.022,0.325,,0.023,0.023,0.02,641153001351041834,0000,0,00nn,AABU,43,44,35,44,0.089,0.081624
12,12,63.7542,55.8334056,2.0,14.34,14.16,13.59,13.39,13.22,12.7,12.62,12.54,12.00,0.0,0.0,J041501.06+555000.4,63.7544255,55.8334652,0.0424,0.0401,6.6,12.404,12.437,12.094,8.928,0.023,0.023,,,0.026,0.035,0.028,639156001351018075,0h00,0,00nn,AAUU,-35,54,42,55,0.183,0.503948
159,159,63.794523,52.506325,2.0,14.5,15.15,13.46,13.2,13.04,12.39,12.22,12.08,159.00,0.01,0.0,J041510.68+523022.7,63.7945234,52.5063244,0.0407,0.0383,16.6,12.01,11.989,11.431,8.494,0.023,0.022,0.199,0.383,0.022,0.019,0.02,641153001351007274,0000,0,00nn,AABC,-28,48,47,49,0.066,0.002263
508,509,63.9361464,53.8322308,2.0,15.15,14.81,13.86,13.42,13.32,12.5,12.22,12.09,508.00,0.95,1.0,J041544.65+534956.1,63.9360656,53.8322689,0.0506,0.0421,21.8,11.783,11.589,10.903,8.239,0.025,0.025,0.108,,0.026,0.019,0.023,638154501351005171,0h00,0,nnnn,AAAU,120,46,6,44,0.3,0.219791
879,881,64.075999,53.350267,2.0,14.6,14.09,13.41,13.21,12.99,12.3,12.13,12.03,879.00,0.0,0.0,J041618.24+532100.9,64.0760065,53.3502614,0.0425,0.0401,15.3,12.004,12.019,12.643,8.919,0.023,0.023,0.512,,0.022,0.019,0.02,641153001351044638,0000,0,00nn,AACU,7,51,55,51,0.071,0.025881
156,156,64.154519,53.478125,2.0,14.2,13.99,13.04,12.66,12.44,11.67,11.51,11.32,156.00,0.01,0.0,J041637.09+532841.2,64.1545429,53.4781172,0.0398,0.0368,5.2,11.27,11.268,11.327,9.052,0.024,0.021,0.162,,0.022,0.023,0.02,641153001351057102,0000,0,00nn,AABU,-51,43,20,43,0.058,0.058394
397,398,64.4589367,53.4239286,2.0,14.41,14.29,13.33,12.54,12.74,11.81,11.48,11.19,397.00,1.0,1.0,J041750.14+532526.1,64.4589508,53.4239349,0.0373,0.0349,11.5,10.772,10.439,9.512,8.707,0.023,0.02,0.04,0.34,0.024,0.029,0.023,641153001351047057,0000,0,001n,AAAB,-25,37,136,36,0.08,0.037684
545,546,64.458939,53.423931,2.0,14.41,14.29,13.33,12.54,12.74,11.81,11.48,11.19,545.00,1.0,1.0,J041750.14+532526.1,64.4589508,53.4239349,0.0373,0.0349,11.5,10.772,10.439,9.512,8.707,0.023,0.02,0.04,0.34,0.024,0.029,0.023,641153001351047057,0000,0,001n,AAAB,-25,37,136,36,0.08,0.028827
841,843,64.7895897,53.5701061,2.0,14.9,14.88,13.54,13.31,13.07,12.37,12.2,12.1,841.00,0.0,0.0,J041909.50+533412.4,64.7896236,53.5701125,0.0433,0.0407,169.9,12.026,12.036,11.197,8.883,0.024,0.023,0.192,0.481,0.024,0.03,0.021,641153001351054684,0000,0,00nn,AABC,4,52,55,52,0.026,0.076112
656,658,64.797645,55.156866,2.0,15.84,15.13,12.62,12.16,11.38,9.57,9.01,8.68,656.00,0.0,0.0,J041911.43+550924.7,64.797663,55.1568779,0.0358,0.0335,8.1,8.512,8.413,8.31,6.69,0.023,0.021,0.024,0.07,0.021,0.027,0.021,638154501351053442,0000,0,2100,AAAA,-24,36,50,34,0.123,0.056518
688,690,64.920478,53.907365,2.0,14.98,14.99,12.96,12.68,12.31,11.38,11.17,10.97,688.00,0.02,0.0,J041940.92+535426.5,64.9205087,53.9073699,0.0402,0.0376,11.8,10.915,10.888,10.873,9.192,0.024,0.02,0.114,,0.019,0.027,0.022,638154501351000120,0000,0,000n,AABU,-55,41,4,42,0.153,0.067552
799,801,64.9204928,53.9073892,2.0,14.98,14.99,12.96,12.68,12.31,11.38,11.17,10.97,799.00,0.02,0.0,J041940.92+535426.5,64.9205087,53.9073699,0.0402,0.0376,11.8,10.915,10.888,10.873,9.192,0.024,0.02,0.114,,0.019,0.027,0.022,638154501351000120,0000,0,000n,AABU,-55,41,4,42,0.153,0.077232
812,814,64.932837,55.127904,2.0,16.16,15.01,13.26,12.86,12.3,10.9,10.56,10.36,812.00,0.0,0.0,J041943.88+550740.4,64.9328376,55.1278904,0.0375,0.0334,3.8,10.234,10.178,9.794,8.687,0.022,0.019,0.05,,0.019,0.027,0.021,638154501351053617,HH00,0,nn0n,AAAU,4,37,55,35,0.031,0.048947
267,267,64.999817,55.300675,2.0,14.95,14.46,12.52,12.1,11.57,10.35,10.0,9.84,267.00,0.0,0.0,J041959.94+551802.4,64.9997911,55.300679,0.0374,0.0351,178.5,9.72,9.677,9.353,4.918,0.023,0.021,0.039,0.032,0.024,0.031,0.02,639156001351000020,0h00,1,0111,AAAA,54,37,-10,37,0.061,0.054934
263,263,65.121417,55.817222,2.0,13.18,12.92,12.27,11.77,11.67,11.06,10.9,10.82,263.00,0.07,1.0,J042029.11+554902.2,65.121323,55.8172778,0.0493,0.0373,142.3,10.727,10.676,10.351,8.626,0.026,0.024,0.095,,0.024,0.031,0.025,639156001351023375,0000,0,nnnn,AAAU,163,37,18,36,0.194,0.276573
260,260,65.2904231,53.6299114,2.0,14.62,14.55,13.86,13.63,13.37,12.75,12.55,12.44,260.00,0.0,0.0,J042109.70+533747.7,65.2904329,53.6299302,0.0422,0.0401,4.3,12.377,12.391,12.019,8.883,0.023,0.024,0.327,,0.026,0.032,0.024,641153001351052042,0000,0,00nn,AABU,-24,55,-50,56,0.089,0.070852
261,261,65.3810728,56.283725,2.0,13.92,12.5,12.08,11.62,11.51,11.0,10.9,10.84,261.00,0.17,0.0,J042131.45+561701.4,65.3810734,56.2837336,0.0397,0.0368,176.3,10.808,10.833,10.768,8.881,0.024,0.021,0.099,,0.023,0.021,0.018,666156001351039260,0000,0,000n,AAAU,12,41,54,40,0.04,0.031003
162,162,65.407752,54.619698,2.0,15.92,15.76,13.95,13.68,13.34,12.34,12.12,11.98,162.00,0.01,0.0,J042137.85+543710.8,65.4077359,54.6196713,0.0403,0.0371,8.1,11.813,11.814,11.845,8.78,0.023,0.021,0.277,,0.022,0.023,0.023,663154501351037270,0000,0,01nn,AABU,-49,45,-25,46,0.028,0.10183
259,259,65.4641181,53.3730767,2.0,14.25,15.57,13.32,12.98,12.78,12.12,11.91,11.83,259.00,0.0,0.0,J042151.39+532223.0,65.4641533,53.3730667,0.0403,0.0376,5.7,11.749,11.751,12.329,8.732,0.023,0.022,0.403,,0.024,0.03,0.025,665153001351040315,0000,0,00nn,AACU,13,51,-54,49,0.092,0.083679
257,257,65.4828697,54.32437,2.0,14.31,14.19,13.1,12.81,12.59,11.72,11.48,11.39,257.00,0.04,0.0,J042155.89+541927.7,65.4829122,54.3243867,0.0409,0.0377,2.8,11.367,11.352,11.525,9.017,0.023,0.022,0.211,,0.02,0.021,0.016,663154501351013570,0000,0,43nn,AABU,-84,45,109,45,0.022,0.107595
262,262,65.735743,56.149379,2.0,15.28,15.62,13.66,13.43,13.26,12.61,12.5,12.44,262.00,0.01,0.0,J042256.57+560857.7,65.7357482,56.1493835,0.0451,0.0436,165.7,12.419,12.445,12.519,9.064,0.024,0.026,,0.451,0.023,0.026,0.019,666156001351036754,0000,0,00nn,AAUC,-62,57,55,58,0.061,0.019191
265,265,65.8265844,55.9561758,2.0,14.2,14.66,13.29,13.03,12.89,12.37,12.26,12.22,265.00,0.02,0.0,J042318.37+555722.3,65.8265758,55.9562022,0.044,0.0404,7.5,12.151,12.193,12.694,8.576,0.024,0.024,0.489,,0.021,0.019,0.019,666156001351034111,hh00,0,11nn,AACU,124,52,58,54,0.028,0.096655
163,163,66.012181,54.397028,2.0,14.2,13.87,12.8,12.31,12.32,11.54,11.34,11.13,163.00,0.99,1.0,J042402.91+542349.3,66.0121295,54.3970353,0.0373,0.0347,9.0,10.558,10.279,9.619,8.399,0.023,0.02,0.043,,0.02,0.023,0.022,663154501351034716,0000,0,440n,AAAU,-67,38,121,39,0.064,0.110995
264,264,66.0307458,55.7154056,2.0,14.64,14.05,13.19,12.96,12.72,11.96,11.8,11.7,264.00,0.0,0.0,J042407.41+554255.1,66.0308794,55.7153173,0.041,0.0393,8.3,11.639,11.661,11.784,9.126,0.024,0.022,0.291,,0.022,0.021,0.02,666156001351016587,0h00,0,00nn,AABU,56,44,7,44,0.005,0.417618
266,266,66.069988,55.963487,2.0,13.58,13.47,12.64,12.33,12.17,11.67,11.55,11.49,266.00,0.02,1.0,J042416.80+555748.5,66.0700016,55.9634914,0.0417,0.0383,0.5,11.481,11.491,11.533,9.011,0.023,0.022,0.185,,0.022,0.021,0.02,666156001351033990,hh00,0,11nn,AABU,-47,45,100,44,0.042,0.031621
800,802,66.5918211,54.3033711,2.0,14.53,13.09,12.11,11.82,11.58,10.87,10.71,10.62,800.00,0.0,0.0,J042622.04+541812.1,66.5918632,54.3033629,0.0385,0.0358,9.0,10.555,10.553,10.399,8.67,0.023,0.021,0.073,0.36,0.02,0.017,0.016,663154501351019028,0000,0,011n,AAAC,12,39,25,38,0.056,0.093135
268,268,66.6037,54.3619444,2.0,14.47,14.2,12.99,12.73,12.43,11.63,11.38,11.22,268.00,0.0,0.0,J042624.93+542142.3,66.6038918,54.3617624,0.0397,0.037,7.1,11.128,11.096,11.167,8.555,0.023,0.021,0.149,,0.021,0.019,0.018,663154501351019051,0000,0,65nn,AABU,28,42,78,42,0.12,0.768901
733,735,67.0854581,54.9627394,2.0,14.03,12.66,12.44,11.77,11.62,11.03,10.92,10.87,733.00,0.02,0.0,J042820.51+545745.8,67.0854646,54.9627461,0.0403,0.0372,178.1,10.796,10.81,10.721,8.532,0.023,0.021,0.117,,0.021,0.017,0.02,663154501351047302,0000,0,000n,AABU,16,41,-53,40,0.069,0.027554
1067,1069,67.1948667,54.7035361,2.0,13.95,13.6,12.84,12.52,12.33,11.67,11.51,11.41,1.067.00,0.02,0.0,J042846.78+544212.7,67.1949174,54.7035467,0.0427,0.0394,21.8,11.38,11.386,12.14,9.101,0.024,0.023,0.299,,0.02,0.017,0.02,663154501351047323,0000,0,11nn,AABU,-23,44,15,46,0.054,0.112236
895,897,67.3392911,55.391085,2.0,13.81,12.95,12.27,11.95,11.72,11.1,10.98,10.89,895.00,0.01,0.0,J042921.43+552327.8,67.3392946,55.3910672,0.0402,0.0366,4.7,10.814,10.814,10.871,8.726,0.023,0.021,0.109,,0.018,0.017,0.018,666156001351002437,0000,0,011n,AAAU,-76,47,29,45,0.059,0.064443
542,543,67.8050825,55.3185811,2.0,15.13,14.65,13.34,13.15,12.82,12.04,11.85,11.76,542.00,0.0,0.0,J043113.22+551906.8,67.8051115,55.3185728,0.0404,0.0383,4.5,11.677,11.675,12.069,9.114,0.023,0.021,0.324,,0.022,0.028,0.024,666156001351000109,hh00,0,00nn,AABU,1,49,-55,49,0.105,0.066515
17,17,68.3814214,55.4336192,2.0,14.44,13.36,12.54,11.98,11.72,10.79,10.59,10.42,17.00,0.05,0.0,J043331.54+552601.0,68.3814253,55.4336327,0.0403,0.0369,4.8,10.322,10.314,10.322,8.805,0.024,0.021,0.066,,0.027,0.032,0.021,693156001351010611,dd00,0,110n,AAAU,17,40,81,39,0.06,0.049136
89,89,79.993647,28.957057,2.0,14.28,14.53,14.16,13.98,13.86,13.53,13.45,13.38,89.00,0.0,0.0,J051958.46+285725.5,79.9936084,28.9570897,0.0546,0.0541,77.3,13.282,13.344,11.842,8.902,0.026,0.036,,,0.024,0.031,0.028,805128701351037996,0000,0,00nn,AAUU,45,101,159,113,0.201,0.169394
495,496,80.210909,28.357143,2.0,16.06,15.71,14.63,14.23,14.22,13.46,13.24,13.02,495.00,0.99,1.0,J052050.61+282125.7,80.2108959,28.3571617,0.0478,0.0471,158.5,12.861,12.705,12.048,8.353,0.025,0.026,0.41,,0.021,0.026,0.028,805128701351015320,0000,0,nnnn,AACU,-1,81,-83,82,0.122,0.079093
725,727,80.474386,28.701011,2.0,15.57,15.45,14.13,13.92,13.74,13.11,12.95,12.86,725.00,0.0,1.0,J052153.85+284203.6,80.4743915,28.7010081,0.0492,0.0467,163.8,12.812,12.787,12.266,8.908,0.025,0.029,0.471,,0.021,0.025,0.025,805128701351030427,0000,0,00nn,AACU,38,97,39,90,0.151,0.020191
213,213,80.474395,28.701012,2.0,15.57,15.45,14.13,13.92,13.74,13.11,12.95,12.86,213.00,0.0,0.0,J052153.85+284203.6,80.4743915,28.7010081,0.0492,0.0467,163.8,12.812,12.787,12.266,8.908,0.025,0.029,0.471,,0.021,0.025,0.025,805128701351030427,0000,0,00nn,AACU,38,97,39,90,0.151,0.017998
573,574,80.708995,28.481765,2.0,14.87,14.99,14.53,14.34,14.22,13.71,13.64,13.55,573.00,0.0,0.0,J052250.14+282854.3,80.7089525,28.4817645,0.112,0.0893,17.2,13.492,13.525,11.878,8.766,0.051,0.057,,,0.025,0.032,0.038,805128701351018210,0000,0,00nn,AAUU,-69,181,86,185,0.122,0.134349
894,896,80.912894,28.106506,2.0,16.18,15.88,15.32,15.15,14.88,14.32,14.17,14.12,894.00,0.0,0.0,J052339.10+280623.2,80.9129519,28.1064714,0.0633,0.0616,143.7,13.968,13.937,12.068,8.528,0.028,0.042,,,0.028,,0.048,805128701351002801,0000,0,00nn,AAUU,116,138,119,146,0.278,0.222162
552,553,81.096375,28.594889,2.0,14.43,15.78,13.26,12.94,12.97,12.64,12.62,12.54,552.00,0.02,1.0,J052423.13+283541.5,81.096375,28.5948847,0.0445,0.042,173.7,12.254,12.145,11.622,8.79,0.024,0.025,0.268,,0.023,0.031,0.024,805128701351020173,dd00,0,77nn,AABU,0,61,28,64,0.091,0.015503
877,879,81.580448,27.696657,2.0,14.82,14.38,13.63,13.45,13.15,12.35,12.13,12.03,877.00,0.0,0.0,J052619.30+274148.0,81.5804513,27.6966746,0.0437,0.0428,144.9,11.942,11.939,11.364,8.581,0.025,0.023,0.227,0.488,0.024,0.03,0.018,811127201351044725,0000,0,00nn,AABC,60,67,56,74,0.055,0.064149
1057,1059,82.05784,28.11402,2.0,16.01,15.72,15.14,14.84,14.74,14.11,13.81,13.79,1.057.00,0.17,1.0,J052813.87+280650.3,82.0577946,28.1139868,0.0562,0.0545,136.7,13.578,13.579,12.359,8.713,0.026,0.035,,,0.026,0.027,0.041,822128701351007740,0000,0,11nn,AAUU,-103,113,-67,121,0.144,0.187353
101,101,82.132272,27.19626,2.0,15.6,15.65,15.04,14.55,14.59,13.87,13.65,13.41,101.00,0.96,1.0,J052831.74+271146.5,82.1322749,27.196259,0.05,0.0495,157.2,13.154,12.902,11.558,8.908,0.026,0.029,,,0.026,0.031,0.032,828127201351034333,0000,0,11nn,AAUU,121,96,-113,100,0.027,0.00983
559,560,82.186638,27.81647,2.0,15.07,15.11,14.56,14.36,14.19,13.65,13.5,13.4,559.00,0.0,0.0,J052844.78+274859.3,82.186586,27.8164924,0.0542,0.0514,133.0,13.309,13.363,12.059,8.27,0.026,0.033,,,0.023,,,828127201351059833,0000,0,00nn,AAUU,57,106,242,114,0.333,0.184065
785,787,82.4290922,27.7899235,2.0,15.38,15.25,14.63,14.41,14.21,13.62,13.43,13.36,785.00,0.0,0.0,J052942.98+274723.7,82.4290978,27.7899329,0.052,0.0513,122.6,13.314,13.311,12.1,8.573,0.026,0.032,,,0.024,0.027,0.027,828127201351057375,0000,0,00nn,AAUU,8,107,110,111,0.086,0.038231
574,575,82.555888,28.379914,2.0,16.03,15.99,15.36,15.13,14.91,14.24,14.1,13.98,574.00,0.0,0.0,J053013.42+282247.4,82.5559474,28.3798606,0.0597,0.0579,114.2,13.71,13.828,12.317,8.922,0.027,0.039,,,0.03,0.039,0.049,822128701351020046,0000,0,00nn,AAUU,-42,130,36,139,0.282,0.269087
808,810,82.604378,30.418352,2.0,16.8,16.51,15.67,15.4,15.04,14.13,13.82,13.74,808.00,0.0,0.0,J053025.04+302506.0,82.6043544,30.4183526,0.0603,0.059,137.1,13.628,13.698,12.36,8.701,0.027,0.04,,,0.026,0.033,0.039,817130201351026933,0h00,0,00nn,AAUU,-138,118,4,126,0.075,0.073355
1065,1067,82.6170092,30.2822883,2.0,14.77,14.37,13.51,13.27,12.96,12.26,12.07,11.96,1.065.00,0.0,0.0,J053028.08+301656.2,82.6170291,30.2822922,0.042,0.0399,4.5,11.845,11.837,11.057,8.84,0.024,0.023,0.167,0.511,0.022,0.019,0.022,834130201351035972,0000,0,11nn,AABC,52,57,18,57,0.081,0.063339
848,850,82.727524,30.419368,2.0,16.26,15.58,14.63,14.35,13.93,12.94,12.68,12.48,848.00,0.0,0.0,J053054.60+302509.7,82.7275229,30.4193652,0.045,0.0431,174.6,12.391,12.39,12.031,8.606,0.024,0.025,,,0.023,0.023,0.023,834130201351036004,0000,0,00nn,AAUU,37,66,104,72,0.089,0.010601
505,506,82.806359,30.47814,2.0,17.82,17.26,16.08,15.73,15.25,14.15,13.82,13.65,505.00,0.0,0.0,J053113.52+302841.2,82.8063606,30.4781365,0.0581,0.055,155.0,13.511,13.584,11.901,9.047,0.027,0.037,,,0.026,0.034,0.039,834130201351038495,0000,0,00nn,AAUU,104,110,91,112,0.076,0.013613
80,80,82.8197117,28.9242879,2.0,14.92,15.08,14.53,14.31,14.12,13.62,13.52,13.42,80.00,0.0,0.0,J053116.73+285527.3,82.8197098,28.9242766,0.0536,0.053,177.1,13.388,13.441,12.501,8.676,0.026,0.033,,,0.026,0.027,0.031,822128701351027454,0000,0,11nn,AAUU,0,106,0,119,0.042,0.041163
732,734,82.852946,29.760581,2.0,15.71,15.29,14.33,14.09,13.77,12.94,12.73,12.58,732.00,0.0,0.0,J053124.70+294538.0,82.8529171,29.7605756,0.0443,0.0415,168.4,12.447,12.481,11.831,8.573,0.023,0.025,,,0.02,0.024,0.023,834130201351011403,hh00,0,11nn,AAUU,-80,68,22,72,0.101,0.092468
102,102,82.904406,27.454808,2.0,15.33,14.92,13.93,13.63,13.28,12.35,12.06,11.93,102.00,0.0,0.0,J053137.05+272717.2,82.904398,27.4548045,0.0407,0.0385,10.1,11.846,11.846,11.693,9.003,0.023,0.022,,,0.02,0.022,0.021,828127201351041820,0000,0,01nn,AAUU,-23,61,50,66,0.059,0.028627
1047,1049,83.002669,30.001753,2.0,15.83,15.47,14.06,13.84,13.52,12.73,12.55,12.38,1.047.00,0.0,0.0,J053200.63+300006.3,83.0026375,30.0017732,0.0431,0.0414,166.0,12.312,12.328,12.155,8.655,0.024,0.023,,,0.022,0.023,0.023,834130201351015224,0000,0,11nn,AAUU,-10,72,26,74,0.114,0.122139
748,750,83.0035422,29.4506644,2.0,14.04,13.06,12.44,12.26,12.07,11.66,11.5,11.43,748.00,0.0,0.0,J053200.84+292702.4,83.0035343,29.4506703,0.0402,0.0379,0.8,11.361,11.367,10.681,8.32,0.023,0.021,0.119,,0.021,0.022,0.02,822128701351049217,0000,0,000n,AABU,6,49,82,51,0.157,0.03259
