col1,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob,H_alfa,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
142,142,91.06154,24.067343,2.0,14.42,14.94,13.58,13.14,13.09,12.91,12.76,12.65,142.00,0.12,1.0,J060414.76+240402.4,91.061523,24.0673412,0.0426,0.0393,170.3,11.549,11.304,10.683,8.408,0.024,0.023,0.108,,0.021,0.025,0.023,908124201351021162,0000,0,550n,AAAU,10,50,54,55,0.018,0.056379
570,571,91.208839,24.173047,2.0,14.05,14.33,12.66,12.41,12.34,11.95,11.88,11.82,570.00,0.05,0.0,J060450.12+241022.9,91.2088464,24.1730453,0.0426,0.0389,178.9,11.786,11.851,11.843,8.726,0.023,0.022,,,0.022,0.02,0.02,908124201351029008,hh00,0,00nn,AAUU,-9,67,-54,67,0.123,0.025241
676,678,91.2088553,24.1730759,2.0,14.05,14.33,12.66,12.41,12.34,11.95,11.88,11.82,676.00,0.05,0.0,J060450.12+241022.9,91.2088464,24.1730453,0.0426,0.0389,178.9,11.786,11.851,11.843,8.726,0.023,0.022,,,0.022,0.02,0.02,908124201351029008,hh00,0,00nn,AAUU,-9,67,-54,67,0.123,0.114008
900,902,91.393848,24.65092,2.0,13.45,12.18,12.44,11.78,11.69,11.45,11.39,11.35,900.00,0.05,0.0,J060534.52+243903.3,91.3938382,24.6509434,0.0444,0.0391,160.2,11.309,11.34,11.221,8.5,0.023,0.023,0.165,,0.02,0.022,0.02,908124201351050223,0000,0,nnnn,AABU,58,50,93,50,0.092,0.090169
901,903,91.3938506,24.6509514,2.0,13.45,12.18,12.44,11.78,11.69,11.45,11.39,11.35,901.00,0.05,0.0,J060534.52+243903.3,91.3938382,24.6509434,0.0444,0.0391,160.2,11.309,11.34,11.221,8.5,0.023,0.023,0.165,,0.02,0.022,0.02,908124201351050223,0000,0,nnnn,AABU,58,50,93,50,0.092,0.049845
144,144,91.400495,24.174836,2.0,13.99,13.81,12.95,12.76,12.72,12.4,12.35,12.3,144.00,0.2,0.0,J060536.11+241029.3,91.4004842,24.174832,0.0462,0.044,148.8,12.274,12.3,12.037,8.831,0.025,0.026,0.372,,0.022,0.022,0.024,908124201351026164,0000,0,00nn,AACU,-12,90,65,95,0.12,0.038287
329,330,91.400521,24.1748543,2.0,13.99,13.81,12.95,12.76,12.72,12.4,12.35,12.3,329.00,0.2,0.0,J060536.11+241029.3,91.4004842,24.174832,0.0462,0.044,148.8,12.274,12.3,12.037,8.831,0.025,0.026,0.372,,0.022,0.022,0.024,908124201351026164,0000,0,00nn,AACU,-12,90,65,95,0.12,0.14511
378,379,91.4468417,22.13855,2.0,13.68,13.23,12.65,12.01,11.92,11.11,10.83,10.71,378.00,0.19,1.0,J060547.24+220818.7,91.446867,22.1385456,0.0385,0.0354,166.6,10.309,10.102,9.541,7.963,0.024,0.02,0.045,0.231,0.026,0.03,0.022,912122701351002767,0000,0,001n,AAAB,13,40,24,40,0.1,0.085822
789,791,91.465975,24.069182,2.0,14.27,13.72,12.62,12.38,12.21,11.63,11.5,11.42,789.00,0.09,0.0,J060551.82+240408.9,91.4659491,24.0691562,0.0403,0.0387,110.4,11.358,11.35,11.486,8.564,0.023,0.022,0.239,,0.021,0.023,0.018,908124201351023916,dd00,0,nnnn,AABU,-4,46,43,49,0.184,0.126007
587,588,91.466,24.0691889,2.0,14.27,13.72,12.62,12.38,12.21,11.63,11.5,11.42,587.00,0.09,0.0,J060551.82+240408.9,91.4659491,24.0691562,0.0403,0.0387,110.4,11.358,11.35,11.486,8.564,0.023,0.022,0.239,,0.021,0.023,0.018,908124201351023916,dd00,0,nnnn,AABU,-4,46,43,49,0.184,0.204623
