VPHAS-OB1,RAJ2000,DEJ2000,umag,gmag,rmag,r2mag,imag,Hamag,Jmag,Hmag,Kmag,logTeff,A0,Rv,mu,chi2,OB,Halpha,SUB,LUM
1294,156.011397,-57.842242,18.862,18.111,15.787,15.793,14.366,15.332,11.45,10.454,9.961,4.619,8.937,4.439,13.17,1.94,1,0,0,0
1296,156.096884,-57.774323,17.117,16.933,15.332,15.326,14.337,15.005,12.454,11.872,11.57,4.588,6.127,4.131,14.73,1.63,1,0,0,0
1298,156.097198,-57.778032,18.114,17.698,16.081,16.074,15.093,15.816,13.304,12.784,12.538,4.435,5.741,3.822,14.02,4.77,1,0,0,0
1300,155.416597,-58.346679,17.325,17.006,15.647,15.651,14.846,15.33,13.494,13.094,12.866,4.321,4.507,3.634,13.47,0.78,1,0,0,0
1303,156.088688,-57.790982,16.038,15.685,13.793,13.778,12.618,13.367,10.435,9.745,9.386,4.643,7.024,4.131,13.14,3.93,1,0,0,0
1307,156.065328,-57.822011,14.391,14.504,13.5,13.512,12.921,13.495,11.885,11.607,11.452,4.361,3.605,3.77,12.48,0.56,1,0,0,0
1309,155.692099,-58.137505,16.106,16.049,14.981,14.988,14.336,14.701,13.192,12.827,12.688,4.302,3.823,3.856,13.16,2.28,1,0,0,0
1310,155.894109,-57.970452,15.415,15.345,14.157,14.153,13.453,13.84,12.299,11.966,11.802,4.378,4.055,3.591,12.94,1.17,1,0,0,0
1311,155.691089,-58.139465,14.49,14.584,13.674,13.686,13.142,13.418,12.257,11.983,11.847,4.302,3.187,3.7,12.42,0.39,1,0,0,0
1312,155.612979,-58.209181,19.294,18.691,17.048,17.043,16.082,16.676,14.28,13.706,13.508,4.306,5.561,3.823,13.81,3.31,1,0,0,0
1313,156.148083,-57.763545,16.868,16.721,15.228,15.225,14.313,14.857,12.63,12.13,11.817,4.536,5.609,4.007,14.45,1.31,1,0,0,0
1314,156.163314,-57.755888,16.508,16.015,14.081,14.068,12.901,13.644,10.709,10.06,9.679,4.616,7.019,3.994,13.12,1.85,1,0,0,0
1315,156.166005,-57.753634,18.041,17.57,15.789,15.802,14.725,15.32,12.684,12.043,11.715,4.469,6.486,4.034,13.48,0.61,1,0,0,0
1316,156.166811,-57.755888,19.271,18.756,16.938,16.956,15.836,16.556,13.788,13.113,12.821,4.492,6.581,3.969,14.81,1.77,1,0,0,0
1318,156.164489,-57.765239,15.315,15.183,13.645,13.653,12.729,13.275,11.026,10.563,10.282,4.601,5.619,3.906,13.68,2.16,1,0,0,0
1319,155.797803,-58.076415,17.483,17.181,15.868,15.885,15.127,15.58,13.797,13.456,13.267,4.301,4.269,3.59,13.71,1.37,1,0,0,0
1321,156.34691,-57.620616,18.85,18.113,16.313,16.332,15.244,15.924,13.391,12.792,12.498,4.334,5.945,3.697,13.05,1.92,1,0,0,0
