col1,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob,Halpha
713,715,309.7578510,42.6194790,2.00,17.13,15.97,14.25,13.90,13.24,11.56,11.05,10.87,713.00,0.00,0.00
1041,1043,308.4272347,41.2490667,2.00,17.02,16.28,14.06,13.62,12.84,10.74,10.23,9.89,1.041.00,0.00,1.00
194,194,90.6516160,22.1522370,2.00,15.09,14.96,14.40,14.25,14.00,13.24,13.10,12.98,194.00,0.00,0.00
250,250,90.5778730,22.9210720,2.00,15.80,15.55,14.54,14.27,13.90,12.99,12.68,12.59,250.00,0.00,0.00
995,997,308.3063570,40.9640830,2.00,19.14,17.45,15.15,14.67,13.78,11.55,10.97,10.65,995.00,0.00,1.00
588,589,85.9126230,20.7216200,2.00,14.95,15.15,14.69,14.50,14.35,13.88,13.86,13.68,588.00,0.00,0.00
524,525,83.3642960,28.1837830,2.00,16.41,15.70,14.75,14.53,14.09,13.07,12.78,12.56,524.00,0.00,0.00
902,904,310.9442460,41.3263140,2.00,16.51,15.43,14.15,13.90,13.36,12.10,11.77,11.62,902.00,0.00,0.00
441,442,307.9241640,40.9758770,2.00,18.15,16.40,14.28,13.86,12.98,10.76,10.18,9.83,441.00,0.00,1.00
234,234,85.4976260,21.1536820,2.00,16.53,16.23,15.38,15.14,14.80,14.17,13.92,13.87,234.00,0.00,0.00
1062,1064,100.1816570,-1.0330520,2.00,15.21,14.88,14.38,14.27,13.99,13.40,13.26,13.15,1.062.00,0.00,0.00
511,512,308.5992303,43.8130789,2.00,17.62,16.33,14.37,13.89,13.13,11.09,10.55,10.26,511.00,0.00,1.00
27,27,104.2231900,6.3041760,2.00,16.06,16.28,16.14,15.98,15.96,15.92,16.00,15.63,27.00,0.00,1.00
611,613,82.8927980,28.8990450,2.00,15.88,15.90,15.28,15.07,14.84,14.27,14.05,14.07,611.00,0.00,0.00
214,214,83.5167030,29.8336940,2.00,15.11,15.00,14.14,13.88,13.54,12.81,12.59,12.47,214.00,0.00,0.00
973,975,306.5048944,41.1124936,2.00,16.24,15.49,14.17,13.85,13.30,11.93,11.52,11.30,973.00,0.00,1.00
295,296,85.1294078,29.2586447,2.00,14.62,14.62,13.82,13.56,13.27,12.46,12.27,12.16,295.00,0.00,0.00
1042,1044,308.6070364,40.8630792,2.00,17.76,16.50,14.56,14.11,13.36,11.44,10.93,10.66,1.042.00,0.00,0.00
1023,1025,309.1062890,42.6470980,2.00,18.15,16.87,14.86,14.46,13.66,11.71,11.14,10.86,1.023.00,0.00,1.00
450,451,89.5500690,22.8358030,2.00,16.34,15.66,14.78,14.55,14.12,13.01,12.79,12.59,450.00,0.00,0.00
605,607,87.1920710,31.1063720,2.00,14.72,14.75,14.31,14.15,13.94,13.47,13.32,13.36,605.00,0.00,0.00
991,993,307.8245564,41.2237322,2.00,17.85,16.56,14.40,13.92,13.08,10.93,10.28,9.86,991.00,0.00,1.00
724,726,89.4462560,22.6753350,2.00,15.94,15.46,14.50,14.26,13.83,12.76,12.46,12.28,724.00,0.00,0.00
189,189,95.1241370,24.0639790,2.00,15.12,15.06,14.41,14.19,13.93,13.36,13.24,13.16,189.00,0.00,0.00
217,217,308.7432600,41.4265669,2.00,16.33,15.42,13.67,13.29,12.64,11.04,10.67,10.45,217.00,0.00,0.00
396,397,87.8930940,22.3443010,2.00,16.05,16.14,15.42,15.21,14.92,14.14,13.95,13.82,396.00,0.00,0.00
579,580,89.8099200,23.0728700,2.00,16.10,15.78,14.86,14.58,14.16,13.14,12.84,12.74,579.00,0.00,0.00
975,977,84.1011520,27.9407320,2.00,15.79,15.73,15.00,14.75,14.42,13.69,13.41,13.39,975.00,0.00,0.00
551,552,307.3793610,41.3413310,2.00,17.06,15.96,14.06,13.60,12.83,10.84,10.25,9.94,551.00,0.00,1.00
1032,1034,83.3748730,29.0059930,2.00,17.85,17.33,16.41,16.17,15.77,14.83,14.59,14.34,1.032.00,0.00,0.00
33,33,327.0054750,47.5679110,2.00,15.98,15.38,14.29,13.99,13.53,12.56,12.33,12.20,33.00,0.00,0.00
135,135,83.4066390,28.7876370,2.00,17.10,16.92,16.07,15.82,15.44,14.62,14.41,14.21,135.00,0.00,0.00
980,982,321.5246342,51.9746014,2.00,17.80,16.73,15.17,14.79,14.14,12.47,12.05,11.82,980.00,0.00,0.00
173,173,89.4896660,21.1508800,2.00,17.31,16.75,15.67,15.35,14.85,13.70,13.38,13.22,173.00,0.00,0.00
936,938,307.8462903,41.3662294,2.00,17.77,16.49,14.26,13.79,12.92,10.81,10.22,9.91,936.00,0.00,0.00
353,354,308.6439447,41.9749158,2.00,18.34,16.89,14.79,14.33,13.48,11.35,10.78,10.51,353.00,0.00,0.00
550,551,90.0618970,23.9452840,2.00,14.70,14.49,13.48,13.17,12.75,11.75,11.50,11.34,550.00,0.00,0.00
288,288,90.2102800,22.4086386,2.00,15.39,14.80,13.61,13.27,12.75,11.54,11.19,11.04,288.00,0.00,0.00
202,202,322.9148033,50.8777567,2.00,17.51,16.75,14.95,14.50,13.83,12.12,11.62,11.37,202.00,0.00,0.00
387,388,306.6139510,41.7978720,2.00,17.55,16.52,14.72,14.31,13.57,11.65,11.10,10.81,387.00,0.00,1.00
880,882,88.2704220,22.1634270,2.00,16.77,16.58,15.99,15.79,15.59,15.01,15.04,14.76,880.00,0.00,1.00
351,352,306.8893803,41.5866331,2.00,16.90,16.07,14.54,14.19,13.55,11.88,11.43,11.20,351.00,0.00,1.00
953,955,308.3608210,42.3116890,2.00,18.64,17.39,15.36,14.93,14.10,12.05,11.49,11.22,953.00,0.00,0.00
405,406,306.7594900,41.0463217,2.00,18.67,17.64,15.56,15.12,14.27,12.10,11.37,11.03,405.00,0.00,1.00
395,396,88.7232440,22.9560260,2.00,16.94,16.22,14.88,14.55,13.95,12.71,12.37,12.16,395.00,0.00,0.00
990,992,308.2794072,40.9170372,2.00,18.23,16.72,14.40,13.93,12.99,10.71,10.13,9.80,990.00,0.00,0.00
983,985,309.4539260,42.6105200,2.00,18.83,17.50,15.42,15.00,14.11,11.71,11.07,10.73,983.00,0.00,0.00
986,988,308.8307803,40.8335525,2.00,17.87,16.65,14.60,14.15,13.33,11.13,10.55,10.24,986.00,0.00,1.00
988,990,85.2832050,28.2966390,2.00,16.93,16.46,15.21,14.89,14.30,13.13,12.78,12.56,988.00,0.00,0.00
402,403,308.2551340,40.5427450,2.00,19.45,17.23,14.22,13.63,12.36,9.65,8.91,8.51,402.00,0.00,0.00
403,404,307.8678930,40.5490460,2.00,18.82,17.44,14.65,14.10,12.95,10.51,9.86,9.51,403.00,0.00,0.00
400,401,307.5616180,41.3580150,2.00,19.13,17.72,15.33,14.83,13.85,11.46,10.76,10.42,400.00,0.00,0.00
976,978,85.1370030,28.6111160,2.00,18.94,17.93,16.36,15.98,15.23,13.64,13.15,12.88,976.00,0.00,0.00
943,945,310.1776430,41.5577410,2.00,19.01,17.52,15.38,14.95,14.03,11.97,11.42,11.12,943.00,0.00,0.00
996,998,309.7762980,42.9528620,2.00,17.82,16.54,14.23,13.73,12.81,10.52,9.88,9.53,996.00,0.00,1.00
982,984,311.4362306,43.6614264,2.00,17.11,16.20,14.55,14.14,13.41,11.66,11.22,10.95,982.00,0.00,1.00
992,994,308.5715444,41.1084692,2.00,17.74,16.60,14.11,13.60,12.59,10.12,9.48,9.14,992.00,0.00,0.00
554,555,306.1497194,41.3602828,2.00,17.81,16.48,14.30,13.83,12.90,10.61,9.95,9.61,554.00,0.00,0.00
392,393,308.9038280,42.2078880,2.00,18.04,16.56,14.16,13.64,12.63,10.17,9.45,9.09,392.00,0.00,0.00
406,407,306.0652070,41.7933890,2.00,18.31,16.86,14.39,13.88,12.86,10.36,9.66,9.31,406.00,0.00,0.00
401,402,308.1472356,41.2459394,2.00,17.56,16.46,13.81,13.27,12.20,9.78,9.14,8.75,401.00,0.00,0.00
404,405,305.3348520,41.6557350,2.00,17.80,16.84,14.42,13.92,12.95,10.60,9.97,9.62,404.00,0.00,0.00
393,394,309.7067080,41.4238590,2.00,18.24,16.87,14.49,14.01,13.00,10.72,10.10,9.79,393.00,0.00,0.00
399,400,308.5580730,39.6440650,2.00,18.37,17.09,14.41,13.86,12.68,10.12,9.43,9.02,399.00,0.00,0.00
398,399,308.0163230,39.8207180,2.00,18.81,17.45,14.65,14.09,12.88,10.34,9.65,9.29,398.00,0.00,0.00
970,972,308.3676236,41.1327592,2.00,17.70,16.24,14.35,14.16,13.10,10.71,10.17,9.89,970.00,0.00,0.00
