_RAJ2000,_DEJ2000,Cluster,MG,ymag,e_ymag,b-y,e_b-y,y-Ha,e_y-Ha,WHa05,WHa06,WHa07,vsini,e_vsini,Teff,e_Teff,logg,e_logg,loggP,Mass,e_Mass,Rad,e_Rad,Vc,SB?,Code,clean,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag
117.724125,-25.5015,Haffner 16,928,16.01,0.033,0.326,0.044,0.397,0.057,,,,,,,,,,,,,,,,,O,false,17.61,0.01,17.12,0.0,15.65,0.01,15.87,0.0,15.54,0.01,14.745,15.121,12.441,8.971,,,,0.027,0.059,0.373,,,,
117.7242083,-25.5337778,Haffner 16,1084,15.882,0.031,0.362,0.042,0.402,0.055,,,,,,,,,,,,,,,,,O,true,17.68,0.01,16.91,0.0,15.42,0.01,15.62,0.0,15.23,0.0,14.438,14.579,12.942,9.042,14.743,14.338,14.268,0.027,0.047,,,0.036,0.039,0.072
117.7257917,-25.5161389,Haffner 16,1003,14.706,0.022,0.619,0.033,0.783,0.047,,,,,,,,,,,,,,,,,O,false,16.94,0.0,15.95,0.0,13.89,0.0,14.22,0.0,13.68,0.0,12.08,12.137,12.444,9.358,12.778,12.282,12.108,0.023,0.022,0.366,,0.024,0.024,0.026
117.7284583,-25.4449722,Haffner 16,580,13.743,0.019,0.771,0.03,0.937,0.045,,,,,,,,,,,,,,,,,O,false,16.79,0.0,15.12,0.0,12.78,0.0,13.16,0.0,,,10.617,10.723,10.62,8.876,11.433,10.845,10.67,0.023,0.02,0.079,,0.023,0.024,0.021
117.7295417,-25.49225,Haffner 16,874,12.24,0.011,0.295,0.017,0.435,0.042,,,,,,,,,,,,,,,,,O,false,13.67,0.0,,,11.77,0.0,,,,,11.011,11.008,11.129,9.169,11.32,11.154,11.063,0.023,0.021,0.111,,0.023,0.023,0.021
117.72975,-25.5284167,Haffner 16,1059,14.7,0.02,0.365,0.028,0.316,0.047,,,,,,,,,,,,,,,,,O,true,16.19,0.0,15.74,0.0,14.34,0.0,14.54,0.0,14.25,0.0,13.668,13.699,12.636,9.313,13.859,13.695,13.589,0.025,0.032,,,0.028,0.03,0.047
117.7305,-25.51175,Haffner 16,977,14.335,0.018,0.315,0.025,0.464,0.046,,,,,,,,,,,,,,,,,O,false,15.67,0.0,15.34,0.0,13.84,0.0,14.08,0.0,13.76,0.01,13.029,13.069,12.764,9.443,13.359,13.107,13.066,0.023,0.025,,,0.026,0.029,0.036
118.7979583,-27.9496111,NGC 2483,269,14.021,0.034,0.864,0.052,1.03,0.052,,,,,,,,,,,,,,,,,O,true,16.11,0.0,14.7,0.0,13.0,0.0,13.34,0.0,12.68,0.0,10.638,10.707,10.625,8.475,11.5,10.885,10.713,0.023,0.02,0.105,,0.022,0.022,0.019
118.8037917,-27.9669722,NGC 2483,299,14.155,0.032,0.405,0.045,0.627,0.054,,,,,,,,,,,,,,,,,O,true,14.91,0.0,14.51,0.0,13.55,0.0,13.8,0.0,13.44,0.0,12.423,12.495,12.519,8.766,12.906,12.561,12.511,0.023,0.024,0.478,,0.024,0.025,0.03
118.8115417,-27.8560556,NGC 2483,106,13.599,0.028,0.658,0.042,0.884,0.047,,,,,,,,,,,,,,,,,O,false,15.38,0.0,14.15,0.0,,,13.03,0.0,12.53,0.0,10.916,10.996,11.011,8.925,11.636,11.098,11.0,0.023,0.022,0.138,,0.023,0.022,0.024
