,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
1731,20.105,19.832,18.294,17.495,17.556,15.951,15.524,15.142,-1.1785166666666658,-4.458882352941176,0.11837209302325571,1.5159302325581399,1.3975581395348842,umag_gmag_rmag_imag,-59.009884,18.254,4.425,5.103,1.65,4796,3.73,16.74,160.528256,1,1,1,0
1742,19.56,19.308,17.557,16.679,16.191,14.859,14.177,13.884,-1.3430333333333342,-8.506470588235295,1.4890232558139507,4.363558139534881,2.87453488372093,umag_gmag_rmag_imag,-59.464112,17.559,4.503,6.036,7.14,4839,4.007,16.1,160.09682,1,1,1,0
1772,17.492,17.649,16.623,16.079,15.902,15.067,14.736,14.774,-1.1452666666666673,-4.77988235294119,0.29167441860465443,1.725186046511634,1.4335116279069795,umag_gmag_rmag_imag,-59.140497,16.511,4.385,3.546,1.53,4949,3.678,15.93,160.552448,1,1,0,0
1778,18.482,18.426,17.167,16.452,16.457,15.189,14.638,14.302,-1.2429166666666651,-4.496352941176476,0.0433255813953523,1.2908139534883747,1.2474883720930223,umag_gmag_rmag_imag,-60.667291,17.112,4.368,4.565,5.18,4960,4.04,15.39,158.865077,1,1,0,0
1788,19.859,19.529,18.127,17.329,17.428,15.784,15.126,14.927,-1.1196999999999946,-4.151823529411752,0.07904651162790843,1.2531162790697696,1.1740697674418612,umag_gmag_rmag_imag,-59.527148,18.095,4.3,5.047,1.3,4993,4.132,15.25,160.18161,1,1,0,0
1817,19.94,19.307,17.32,16.099,16.481,13.627,12.888,12.486,-1.585149999999997,-4.746470588235285,-0.3353255813953494,0.772186046511623,1.1075116279069723,umag_gmag_rmag_imag,-59.58504,17.324,4.512,7.544,2.63,5090,4.235,14.57,160.234954,1,1,0,0
1820,19.851,19.643,18.209,17.384,17.411,16.224,15.6,15.395,-1.2907499999999998,-4.9085882352941095,0.13955813953487956,1.5113953488372038,1.3718372093023243,umag_gmag_rmag_imag,-61.607862,18.154,4.471,4.714,3.2,5099,3.494,17.48,157.894712,1,1,1,0
1826,20.332,19.808,18.256,17.344,18.289,15.928,15.282,15.354,-1.132799999999997,0.7355882352941266,-1.8714651162790683,-2.4951627906976723,-0.6236976744186045,umag_gmag_rmag_imag,-58.847291,18.272,4.353,5.037,4.13,5109,3.532,15.99,161.025999,1,0,0,0
1858,19.94,19.686,18.208,17.435,17.586,16.01,15.559,15.254,-1.150283333333331,-3.734117647058823,-0.12876744186046307,1.0015813953488415,1.1303488372093045,umag_gmag_rmag_imag,-59.066424,18.186,4.403,4.83,0.88,5203,3.651,16.65,160.905624,1,1,1,0
1867,20.098,19.654,18.04,17.186,17.381,15.562,14.995,14.92,-1.1074333333333324,-3.7813529411764657,-0.050302325581396745,1.1147441860465106,1.1650465116279074,umag_gmag_rmag_imag,-59.054505,18.039,4.369,5.281,2.11,5232,3.715,15.73,160.94961,1,1,0,0
1887,17.787,17.958,16.896,16.19,16.118,14.788,14.388,13.984,-1.453566666666665,-5.159352941176486,0.011511627906984206,1.239279069767453,1.227767441860469,umag_gmag_rmag_imag,-61.777599,16.834,4.383,4.602,3.42,5289,4.653,15.15,157.912211,1,1,1,0
