,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,Vc,e_Mass,e_Jmag,vsini,e_Rad,Teff,clean,Rad,e_Kmag,e_y-Ha,Mass,e_Teff,e_gmag,SB?,loggP,e_logg,e_rmag,MG,e_umag,logg,e_Hamag,e_imag,e_b-y,ymag,WHa05,y-Ha,e_vsini,WHa07,b-y,e_Hmag,DEJ2000,e_ymag,RAJ2000,Cluster,WHa06,Code
1533,20.84,17.27,14.97,13.54,14.47,11.57,10.644,10.342,0.9721666666666651,0.36411764705882277,1.2125581395348815,1.3713953488372042,0.15883720930232226,umag_gmag_rmag_imag,,,0.026,,,,False,,0.025,0.088,,,0.01,,,,0.01,427,0.15,,0.01,0.02,0.108,16.097,,1.662,,,1.419,0.026,-5.8865278,0.066,282.1530417,Basel 1,,O
1539,20.73,17.59,15.46,14.16,15.01,12.216,11.319,11.07,0.7783333333333333,0.2547058823529338,0.9853488372093047,1.1583720930232593,0.1730232558139544,umag_gmag_rmag_imag,,,0.028,,,,False,,0.023,0.092,,,0.01,,,,0.01,296,0.13,,0.01,0.02,0.119,16.327,,1.567,,,1.506,0.023,-5.85425,0.07,282.156125,Basel 1,,O
1552,13.72,13.68,12.87,12.34,12.41,11.59,11.43,11.262,-0.922833333333331,-2.9094117647058764,-0.137441860465116,0.5113953488372096,0.6488372093023256,umag_gmag_rmag_imag,,,0.021,,,,True,,0.046,,,,0.0,,,,0.0,221,0.0,,0.0,0.0,,,,,,-18.68,,0.035,-8.29317,,279.09921,NGC 6664,-18.49,Be
1670,17.69,15.16,13.42,12.51,12.98,11.087,10.322,10.063,0.8768333333333347,-0.29117647058823204,1.3386046511627907,1.9965116279069766,0.6579069767441854,umag_gmag_rmag_imag,,,0.024,,,,False,,0.02,0.065,,,0.0,,,,0.0,177,0.01,,0.0,0.01,0.034,14.29,,1.248,,,1.135,0.022,-60.5431944,0.02,189.73475,Trumpler 20,,O
1739,18.75,15.98,14.03,12.94,13.57,11.181,10.305,10.047,0.7898333333333336,-0.17941176470587772,1.173023255813952,1.6725581395348823,0.49953488372093036,umag_gmag_rmag_imag,,,0.024,,,,False,,0.023,0.069,,,0.01,,,,0.0,304,0.03,,0.01,0.01,0.044,15.023,,1.428,,,1.346,0.024,-60.5689722,0.026,189.7749167,Trumpler 20,,O
1743,19.22,16.22,14.09,12.94,13.6,11.078,10.178,9.861,0.9108333333333332,-0.14176470588235546,1.326976744186047,1.9374418604651167,0.6104651162790693,umag_gmag_rmag_imag,,,0.024,,,,False,,0.021,0.07,,,0.01,,,,0.0,531,0.04,,0.0,0.01,0.048,15.172,,1.515,,,1.479,0.022,-60.6076944,0.028,189.7774167,Trumpler 20,,O
1750,20.02,16.89,14.78,13.59,14.29,11.671,10.74,10.41,0.9681666666666673,-0.011764705882356452,1.355581395348839,1.853953488372099,0.4983720930232596,umag_gmag_rmag_imag,,,0.024,,,,False,,0.021,0.076,,,0.01,,,,0.0,140,0.07,,0.01,0.01,0.06,15.898,,1.584,,,1.526,0.024,-60.5327778,0.035,189.7830417,Trumpler 20,,O
1951,20.71,16.97,14.51,12.96,13.92,10.553,9.426,9.08,0.9241666666666712,-0.042941176470586484,1.3065116279069824,1.5562790697674505,0.24976744186046762,umag_gmag_rmag_imag,,,0.023,,,,False,,0.02,0.075,,,0.01,,,,0.0,558,0.12,,0.0,0.0,0.064,15.812,,1.873,,,1.777,0.022,-60.6114722,0.035,189.910875,Trumpler 20,,O
1981,19.41,16.57,14.63,13.54,14.23,11.75,10.903,10.624,0.8598333333333308,0.27529411764705536,1.090930232558137,1.4423255813953442,0.3513953488372068,umag_gmag_rmag_imag,,,0.023,,,,True,,0.021,0.074,,,0.01,,,,0.0,534,0.04,,0.0,0.0,0.052,15.67,,1.451,,,1.392,0.022,-60.6078056,0.031,189.926875,Trumpler 20,,O
2034,20.43,17.18,14.91,13.56,14.45,11.4,10.383,10.056,0.7975000000000012,0.30058823529411116,0.9939534883720973,1.2148837209302403,0.22093023255814304,umag_gmag_rmag_imag,,,0.024,,,,True,,0.023,0.077,,,0.01,,,,0.0,482,0.09,,0.0,0.0,0.065,16.068,,1.678,,,1.577,0.023,-60.5982778,0.037,189.9505,Trumpler 20,,O
