,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
241,19.3,18.77,17.22,16.76,16.94,15.85,15.614,14.906,-0.20138528138528056,-0.7512280701754359,-0.40210280373831553,1.5204678362573152,1.807850467289724,2.7654205607476623,1.2836842105263182,1.420467289719628,2.1437383177570073,0.5104672897196234,-0.3655686274509816,Jmag_Hmag_Kmag,,-25.5083611,0.01,,0.109,0.01,,,True,0.667,,,0.02,,,0.488,961,17.618,0.01,Haffner 16,0.01,0.084,,0.114,,,,,0.084,117.4816667,,,,,0.093,O
244,20.57,18.84,16.59,15.79,16.21,14.277,13.518,13.183,0.6683116883116889,-0.21415204678362554,0.39042056074766474,3.0069005847953214,3.610654205607478,5.305981308411218,1.7868421052631576,2.074205607476636,3.362056074766357,0.9177570093457956,0.4743594771241809,umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,,-25.4613333,0.01,,0.093,0.01,,,False,1.1,,,0.05,,,0.971,696,17.29,0.01,Haffner 16,0.01,0.074,,0.112,,,,,0.04,117.4819583,,,,,0.042,O
250,19.28,17.81,15.85,15.22,15.46,14.004,13.419,13.244,0.545151515151518,-0.18093567251461606,0.27303738317757387,2.6636842105263185,3.050934579439255,4.360560747663552,1.5952631578947365,1.779579439252336,2.768317757009344,0.6972897196261673,0.43630718954248215,gmag_rmag_imag,,-25.4918056,0.01,,0.063,0.01,,,False,0.947,,,0.02,,,0.795,871,16.461,0.01,Haffner 16,0.01,0.042,0.037,0.062,,,,,0.027,117.492875,,,,,0.025,O
251,17.75,17.11,15.83,15.49,15.61,14.927,14.537,15.024,0.03601731601731695,-0.3926315789473671,-0.12401869158878431,1.5064327485380118,1.7061682242990648,2.4102803738317746,1.0831578947368417,1.1782242990654197,1.7091588785046716,0.37364485981308376,0.8037908496731999,Jmag_Hmag_Kmag,,-25.5515278,0.0,,0.059,0.0,,,True,0.404,,,0.01,,,0.334,1182,16.118,0.01,Haffner 16,0.01,0.035,,0.047,,,,,0.045,117.49325,,,,,,O
256,20.66,18.69,16.47,15.72,16.01,14.595,13.883,13.67,0.9224675324675302,0.07684210526315671,0.6049532710280368,3.277719298245618,3.742897196261686,5.3031775700934585,1.785789473684214,2.0071962616822465,3.1854672897196274,0.8313084112149518,0.5310196078431395,umag_gmag_rmag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,,-25.5177222,0.01,,0.089,0.01,,,False,1.169,,,0.04,,,0.886,1004,17.186,0.01,Haffner 16,0.01,0.07,0.043,0.103,,,,,0.021,117.4952917,,,,,0.022,O
258,20.61,19.05,17.15,16.65,16.78,15.775,15.238,15.082,0.6634632034632013,0.030175438596488746,0.4037850467289712,2.851812865497077,3.1003738317757046,4.122803738317761,1.6105263157894758,1.728831775700938,2.496588785046733,0.5364485981308419,0.4044509803921587,umag_rmag_imag | gmag_rmag_imag,,-25.4742222,0.01,,0.111,0.01,,,False,0.903,,,0.04,,,0.55,781,17.713,0.01,Haffner 16,0.01,0.088,0.156,0.12,,,,,0.067,117.49875,,,,,0.072,O
264,19.2,17.83,15.89,15.29,15.53,14.183,13.611,13.462,0.45458874458874676,-0.24906432748537832,0.19850467289719798,2.5801754385964886,2.960093457943923,4.210560747663552,1.5926315789473655,1.773457943925231,2.718317757009345,0.6672897196261697,0.44539869281045597,gmag_rmag_imag,,-25.5144722,0.01,,0.063,0.0,,,False,0.904,,,0.02,,,0.74,991,16.505,0.01,Haffner 16,0.01,0.042,0.039,0.06,,,,,0.022,117.5096667,,,,,0.022,O
266,18.71,17.91,16.64,16.32,16.47,15.71,15.725,15.312,0.20073593073593166,-0.21350877192982365,0.0665420560747666,1.6807602339181287,1.9047663551401857,2.5778504672897182,1.0847368421052626,1.1913551401869147,1.7014485981308398,0.36205607476635504,-0.3659150326797375,Jmag_Hmag_Kmag,,-25.4454167,0.01,,0.074,0.01,,,False,0.317,,,0.01,,,0.408,583,16.858,0.02,Haffner 16,0.01,0.049,,0.065,,,,,0.064,117.5098333,,,,,0.11,O
267,20.23,18.37,16.16,15.41,15.76,13.997,13.349,12.911,0.8171861471861463,-0.02678362573099502,0.5306074766355131,3.1577192982456146,3.681214953271028,5.258317757009346,1.7757894736842115,2.0249532710280382,3.220046728971963,0.8481308411214953,0.27584313725490117,umag_gmag_rmag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,,-25.4629167,0.01,,0.082,0.01,,,False,1.103,,,0.04,,,0.962,707,16.895,0.01,Haffner 16,0.01,0.063,,0.096,,,,,0.039,117.510625,,,,,0.047,O
271,18.82,18.29,16.82,16.41,16.55,15.747,15.355,15.887,-0.16363636363636191,-0.6683625730994132,-0.3562616822429885,1.5012865497076022,1.7375700934579443,2.5853271028037392,1.2326315789473672,1.3450934579439244,1.9840186915887845,0.4492523364485984,0.8440261437908491,Jmag_Hmag_Kmag,,-25.4760278,0.01,,0.092,0.01,,,False,0.578,,,0.01,,,0.504,792,17.149,0.01,Haffner 16,0.01,0.068,,0.093,,,,,0.069,117.5155417,,,,,0.088,O
