,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
276,19.67,18.21,16.09,15.35,15.7,13.974,13.287,13.165,0.11566666666666747,-1.0405882352941211,0.5727906976744208,1.8869767441860512,1.3141860465116302,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,,-25.4638611,0.01,,0.079,0.01,,,False,1.057,,,0.02,,,0.91,713,16.786,0.01,Haffner 16,0.01,0.06,0.039,0.091,,,,,0.024,117.5194167,,,,,0.025,O
277,18.17,17.62,16.1,15.68,15.84,14.942,14.607,14.257,-0.2130000000000022,-1.1170588235294217,0.14441860465116335,1.2960465116279072,1.1516279069767437,gmag_rmag_imag_Hamag,,-25.4740833,0.01,,0.064,0.01,,,False,0.611,,,0.01,,,0.506,778,16.457,0.01,Haffner 16,0.01,0.041,0.071,0.057,,,,,0.036,117.521,,,,,0.042,O
278,17.21,16.7,15.24,14.85,14.97,14.136,13.876,13.736,-0.19849999999999934,-1.2211764705882315,0.20581395348837128,1.3895348837209265,1.183720930232555,gmag_rmag_imag_Hamag,,-25.4799444,0.0,,0.053,0.0,,,False,0.587,,,0.01,,,0.455,806,15.591,0.01,Haffner 16,0.01,0.028,0.044,0.039,,,,,0.026,117.521,,,,,0.033,O
279,18.63,17.8,16.24,15.77,15.97,14.993,14.578,14.518,-0.023833333333332707,-0.9011764705882235,0.3230232558139493,1.4225581395348796,1.0995348837209302,gmag_rmag_imag_Hamag,,-25.4496389,0.01,,0.067,0.01,,,False,0.666,,,0.01,,,0.51,611,16.673,0.01,Haffner 16,0.01,0.045,0.086,0.062,,,,,0.035,117.5213333,,,,,0.027,O
280,18.56,17.71,15.94,15.39,15.62,14.417,13.891,13.864,-0.14916666666666656,-1.2017647058823577,0.2669767441860481,1.5074418604651227,1.2404651162790745,gmag_rmag_imag_Hamag,,-25.4723056,0.0,,0.063,0.01,,,False,0.803,,,0.01,,,0.649,766,16.456,0.01,Haffner 16,0.01,0.041,0.058,0.059,,,,,0.038,117.5218333,,,,,0.031,O
281,17.89,17.41,16.07,15.73,15.83,15.173,14.902,14.662,-0.13766666666666583,-1.058823529411766,0.2265116279069782,1.336279069767444,1.109767441860466,gmag_rmag_imag_Hamag,,-25.4982222,0.0,,0.063,0.0,,,False,0.487,,,0.01,,,0.384,907,16.361,0.01,Haffner 16,0.01,0.04,0.105,0.053,,,,,0.04,117.523,,,,,0.061,O
282,18.69,18.15,16.71,16.29,16.42,15.47,15.181,15.012,-0.2230000000000002,-1.3194117647058747,0.21046511627906617,1.3511627906976629,1.1406976744185966,gmag_rmag_imag_Hamag,,-25.4958889,0.01,,0.076,0.01,,,False,0.639,,,0.01,,,0.479,888,17.039,0.01,Haffner 16,0.01,0.053,0.147,0.072,,,,,0.044,117.5247917,,,,,0.074,O
283,18.38,17.89,16.37,15.93,16.08,15.227,15.003,14.708,-0.309333333333337,-1.3694117647059019,0.10976744186046733,1.284418604651168,1.1746511627907008,gmag_rmag_imag_Hamag,,-25.46175,0.01,,0.069,0.01,,,False,0.674,,,0.01,,,0.468,699,16.783,0.01,Haffner 16,0.01,0.047,0.112,0.064,,,,,0.051,117.529,,,,,0.088,O
284,17.49,16.83,15.37,14.98,15.07,14.379,13.977,14.007,-0.048499999999997434,-1.2635294117646996,0.4318604651162797,1.684651162790698,1.252790697674418,gmag_rmag_imag_Hamag,,-25.5409444,0.0,,0.054,0.0,,,False,0.636,,,0.01,,,0.449,1133,15.726,0.01,Haffner 16,0.01,0.029,0.06,0.04,,,,,0.026,117.5314583,,,,,0.022,O
288,19.77,18.86,17.12,16.57,16.78,15.66,15.285,15.183,-0.08916666666666762,-1.2699999999999996,0.37767441860464945,1.634186046511623,1.2565116279069735,gmag_rmag_imag_Hamag,,-25.4841667,0.01,,0.108,0.01,,,True,0.829,,,0.03,,,0.599,830,17.65,0.01,Haffner 16,0.01,0.085,0.168,0.118,,,,,0.065,117.5425,,,,,0.09,O
