,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,RAJ2000,DEJ2000,em
10053,16.012,15.73,13.64,13.3,13.46,12.735,12.598,12.487,-0.3356666666666662,-0.8721176470588221,-0.12358139534883733,1.5980465116279068,1.721627906976744,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,101.02969,9.978415,1.0
10054,15.672,14.146,13.81,13.52,13.69,12.923,12.767,12.672,0.9991666666666649,0.7565882352941108,1.0950697674418608,1.039674418604652,-0.05539534883720865,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,101.29087,10.240254,1.0
10055,14.927,15.311,12.58,12.1,12.15,11.577,11.331,11.266,-1.256000000000001,-3.141058823529411,-0.5107441860465137,2.105139534883717,2.615883720930231,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,100.92281,9.3166556,1.0
10056,20.301,17.008,15.16,14.02,14.65,12.094,11.242,10.988,1.2219999999999986,0.022999999999999687,1.6960232558139516,2.09355813953488,0.39753488372092827,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,101.08978,9.361561,1.0
10057,14.958,16.001,13.3,13.09,13.16,12.565,12.466,12.421,-1.4245000000000025,-1.9406470588235343,-1.220441860465118,1.3193953488372077,2.5398372093023256,gmag_rmag_imag_Hamag,101.13727,9.523164,1.0
10058,15.533,15.328,12.77,12.32,12.52,11.571,11.381,11.261,-0.6124999999999984,-1.3979411764705887,-0.30197674418604437,1.7955581395348876,2.097534883720932,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,100.78068,9.4689255,1.0
10060,15.691,14.75,13.35,13.0,13.22,12.399,12.208,12.167,0.30516666666666825,0.10747058823530098,0.3833255813953482,1.2768139534883707,0.8934883720930225,gmag_rmag_imag_Hamag,101.41342,10.290341,1.0
10061,15.574,13.502,12.8,12.37,12.6,11.825,11.633,11.557,1.29083333333333,0.7896470588235214,1.4889767441860449,1.661441860465114,0.17246511627906902,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,100.81747,9.08921,1.0
10062,15.805,13.085,12.75,12.26,12.57,11.352,11.116,10.949,1.8298333333333319,1.5658823529411767,1.934186046511626,1.555465116279068,-0.37872093023255804,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,100.79899,8.9580187,1.0
10063,16.325,14.468,13.83,13.37,13.66,12.616,12.456,12.295,1.0213333333333314,0.7669999999999995,1.12188372093023,1.092209302325577,-0.02967441860465303,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,100.847,9.1614822,1.0
10064,15.409,15.42,13.29,13.03,13.2,12.58,12.464,12.435,-0.48333333333333206,-0.5880588235294103,-0.44193023255813835,1.2966744186046535,1.7386046511627917,gmag_rmag_imag_Hamag,101.37845,9.0551332,1.0
10065,15.687,15.734,13.08,12.61,12.83,11.897,11.643,11.489,-0.9008333333333349,-1.6499411764705894,-0.6046744186046531,1.542813953488369,2.1474883720930222,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,101.18257,9.0344823,1.0
10066,16.094,15.006,13.7,13.3,13.55,12.656,12.488,12.357,0.36133333333333706,0.12623529411765677,0.45427906976744314,1.1846976744186073,0.730418604651164,gmag_rmag_imag_Hamag,101.25372,9.0087018,1.0
10067,15.778,15.582,13.55,13.25,13.42,12.76,12.58,12.487,-0.3490000000000014,-0.6375294117647115,-0.23493023255813938,1.4056744186046517,1.640604651162791,gmag_rmag_imag_Hamag,101.21243,9.078524,1.0
10068,15.423,15.467,13.48,13.26,13.33,12.762,12.682,12.575,-0.4436666666666682,-1.005764705882356,-0.2214418604651174,1.6043953488372078,1.8258372093023252,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,102.13294,9.5768325,1.0
10069,16.22,14.898,13.71,13.39,13.52,12.755,12.541,12.478,0.7406666666666655,0.10376470588234343,0.9924651162790716,1.8811627906976778,0.8886976744186059,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,101.7861,9.1949378,1.0
10070,15.53,13.775,13.29,13.05,13.18,12.591,12.439,12.339,1.319000000000002,1.0497058823529435,1.4254651162790715,1.61116279069768,0.1856976744186083,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,102.01076,9.3832885,1.0
10072,15.111,16.007,12.95,12.76,12.8,12.477,12.436,12.413,-1.2411666666666665,-1.857764705882345,-0.9973953488372124,1.9675116279069738,2.964906976744186,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,101.87362,10.672563,1.0
10073,15.662,14.155,13.86,13.6,13.73,13.127,12.944,12.911,1.0346666666666686,0.6734705882353017,1.1774651162790695,1.1731627906976723,-0.004302325581397037,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,101.80027,10.380528,1.0
10074,15.438,14.445,13.45,13.24,13.33,12.827,12.759,12.647,0.6115000000000022,0.22358823529412275,0.7648604651162798,1.5526511627907,0.78779069767442,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,101.98992,10.200603,1.0
10075,16.656,12.398,13.93,13.49,13.71,12.687,12.464,12.359,3.458666666666667,2.847411764705888,3.7003255813953464,1.6618139534883687,-2.0385116279069777,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,99.229276,9.4631647,1.0
10076,16.1,15.24,13.77,13.48,13.65,12.988,12.805,12.795,0.3331666666666696,0.09058823529412363,0.4290697674418621,1.5076744186046538,1.0786046511627916,gmag_rmag_imag_Hamag,99.063901,9.7013269,1.0
10077,15.919,14.276,13.73,13.34,13.58,12.63,12.379,12.314,0.9344999999999998,0.6812352941176452,1.0346279069767448,1.0280697674418602,-0.006558139534884488,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,99.195077,9.7370918,1.0
10078,15.999,14.073,13.32,12.89,13.13,12.171,11.942,11.825,1.1448333333333343,0.707764705882356,1.3176279069767443,1.5180697674418604,0.20044186046511625,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,99.56951,9.6210664,1.0
10079,15.577,14.013,13.56,13.22,13.41,12.7,12.535,12.421,0.9463333333333338,0.6022352941176445,1.0823720930232574,1.097930232558142,0.015558139534884496,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,101.04917,11.539797,1.0
10081,15.515,14.023,13.69,13.39,13.56,12.952,12.766,12.699,0.947000000000003,0.6584705882353011,1.0610697674418619,1.002674418604653,-0.05839534883720876,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,101.02299,11.471703,1.0
10082,15.211,13.688,12.95,12.54,12.72,12.051,11.919,11.856,0.7781666666666662,0.04829411764706659,1.0667209302325542,1.3903023255813896,0.32358139534883534,umag_gmag_rmag_imag | umag_gmag_imag_Hamag,99.845479,10.531387,1.0
10083,14.979,12.709,12.54,11.9,12.14,11.44,11.305,11.217,1.1073333333333355,-0.2947058823529334,1.6616279069767437,1.2780697674418602,-0.3835581395348834,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,99.76137,10.612535,1.0
10084,15.999,15.491,13.66,13.33,13.47,12.844,12.72,12.639,-0.09149999999999914,-0.7102352941176433,0.15311627906976705,1.6617906976744168,1.5086744186046497,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,99.948534,10.300074,1.0
10086,15.428,16.366,13.65,13.34,13.5,12.88,12.744,12.628,-1.5011666666666663,-1.8997647058823544,-1.3435813953488362,1.0040465116279074,2.347627906976743,gmag_rmag_imag_Hamag,99.385306,10.518097,1.0
10087,15.587,15.157,13.15,12.77,12.98,12.194,11.927,11.831,-0.26033333333333486,-0.6600000000000001,-0.10232558139535097,1.4211860465116237,1.5235116279069747,gmag_rmag_imag_Hamag,99.624385,10.543422,1.0
10089,17.752,15.51,14.41,13.65,14.12,12.416,12.067,11.859,0.8613333333333333,0.3825882352941101,1.0506046511627933,1.0685116279069824,0.01790697674418884,umag_gmag_rmag_imag | umag_gmag_imag_Hamag,100.31789,10.642248,1.0
10090,14.937,13.357,12.83,12.51,12.72,12.014,11.877,11.776,0.9986666666666664,0.8747058823529447,1.0476744186046494,1.0911860465116237,0.04351162790697427,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag,100.73504,11.423697,1.0
10092,17.093,15.42,14.85,14.35,14.69,13.64,13.406,13.312,0.7646666666666669,0.6471176470588222,0.8111395348837218,0.5983488372093044,-0.2127906976744176,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,85.025638,29.289943,1.0
10094,17.589,15.849,15.27,14.72,15.1,13.961,13.691,13.471,0.740833333333334,0.6499999999999986,0.7767441860465131,0.480860465116284,-0.2958837209302292,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,86.031452,28.93171,1.0
10096,17.672,15.959,15.38,14.92,15.23,14.208,13.972,13.845,0.877333333333333,0.7512352941176454,0.9271860465116281,0.7924651162790681,-0.13472093023256004,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,85.969643,29.024285,1.0
10097,17.216,15.573,14.99,14.51,14.81,13.791,13.514,13.417,0.7710000000000001,0.48888235294117854,0.8825348837209295,0.7748372093023239,-0.10769767441860578,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,86.239341,29.007397,1.0
10098,17.505,15.76,15.01,14.45,14.85,13.585,13.287,13.149,0.7276666666666651,0.7191176470588214,0.7310465116279059,0.560116279069766,-0.17093023255813988,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,86.286365,28.52152,1.0
10099,17.788,15.759,14.87,14.18,14.66,13.02,12.752,12.549,0.7755000000000012,0.6825294117647114,0.8122558139534879,0.5961395348837213,-0.2161162790697666,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,84.139035,28.763652,1.0
10100,18.212,16.359,15.53,14.87,15.35,13.909,13.584,13.422,0.6539999999999979,0.6988823529411758,0.636255813953486,0.36013953488372064,-0.2761162790697653,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,84.330199,28.784804,1.0
10101,18.266,16.268,15.44,14.77,15.25,13.658,13.362,13.162,0.7808333333333313,0.7797647058823534,0.7812558139534855,0.504139534883719,-0.27711627906976655,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,84.057489,28.749423,1.0
10102,18.421,16.419,15.47,14.72,15.23,13.555,13.214,13.011,0.6394999999999993,0.4631764705882324,0.7092093023255814,0.48402325581395456,-0.22518604651162688,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,84.250202,28.753609,1.0
10104,18.217,16.244,15.4,14.77,15.22,13.685,13.385,13.152,0.8284999999999978,0.8188823529411768,0.8323023255813922,0.6402558139534831,-0.19204651162790953,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,83.892797,28.276177,1.0
10106,20.385,18.311,17.29,16.53,17.09,15.314,15.015,14.759,0.6933333333333389,0.7916470588235351,0.6544651162790753,0.3861627906976848,-0.268302325581391,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,84.595463,28.994112,1.0
10107,20.449,18.304,17.17,16.43,16.96,15.264,14.948,14.535,0.8006666666666664,0.798529411764703,0.8015116279069776,0.7152790697674378,-0.08623255813954,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,84.409471,28.928715,1.0
