,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,chi2,DEJ2000,logTeff,Rv,r2mag,RAJ2000,mu,A0,VPHAS-OB1,goodOB,EM,SUB,LUM
2058,16.706,17.066,16.202,15.559,15.973,14.451,14.147,13.923,-1.5281166666666703,-1.828294117647065,-1.4094418604651189,-1.498604651162799,-0.08916279069768007,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.39,-60.143839,4.459,4.411,16.123,160.503913,15.83,3.969,5923,1,0,1,0
2059,17.304,17.162,15.756,14.878,15.173,13.199,12.636,12.333,-1.4530333333333336,-3.5960588235294146,-0.6057906976744186,0.12102325581395301,0.7268139534883714,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.68,-59.714069,4.415,4.277,15.742,160.968735,13.65,5.471,5927,1,1,0,0
2061,20.349,19.837,18.105,17.063,17.332,15.041,14.326,14.07,-1.3809666666666687,-4.444294117647058,-0.16988372093023663,0.94279069767441,1.1126744186046464,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.62,-59.723215,4.454,4.133,18.098,160.961536,15.63,6.447,5932,1,1,0,0
2067,18.696,18.525,17.228,16.543,16.485,15.174,14.746,14.43,-1.0734166666666676,-4.5929411764706005,0.3180232558139559,1.7485581395348828,1.4305348837209269,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.46,-59.584002,4.319,3.928,17.24,161.119149,15.08,4.457,5942,1,1,0,0
2072,20.492,19.751,17.967,16.921,17.329,15.033,14.424,14.326,-1.159233333333332,-3.3497058823529304,-0.29323255813953786,0.55141860465116,0.8446511627906977,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.21,-58.95361,4.328,3.718,17.979,161.781172,14.67,5.912,5954,1,1,0,0
2074,19.647,19.424,17.711,16.637,17.203,14.653,13.815,13.542,-1.728099999999997,-3.034176470588232,-1.2117441860465092,-0.8018604651162722,0.4098837209302366,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,5.14,-59.67037,4.579,4.324,17.603,161.044946,16.5,6.67,5956,1,0,1,0
2083,19.721,19.258,17.709,16.843,17.973,15.465,14.887,14.567,-1.1102333333333314,2.1557058823529385,-2.401418604651158,-3.454046511627898,-1.052627906976741,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.92,-59.580334,4.357,3.557,17.724,161.163586,15.55,4.971,5983,1,0,0,0
2088,19.877,19.634,17.963,17.005,17.244,15.138,14.385,14.193,-1.4973666666666712,-4.3670588235294225,-0.36283720930232866,0.7579069767441811,1.1207441860465095,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,4.9,-59.828181,4.513,4.177,17.861,160.919175,16.4,6.205,6002,1,1,1,0
2092,17.948,17.539,15.841,14.816,15.338,12.599,11.858,11.393,-1.4530833333333313,-2.8161176470588263,-0.914209302325578,-0.4180232558139436,0.49618604651163434,umag_gmag_rmag_Hamag,1.41,-60.142835,4.343,4.654,15.789,160.591941,11.91,6.693,6015,1,0,0,0
2096,17.876,17.59,16.289,15.404,16.012,13.762,13.328,13.008,-1.321750000000001,-1.4900588235294174,-1.2552093023255806,-1.3540232558139547,-0.0988139534883743,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,5.35,-59.300829,4.302,4.242,16.233,161.486422,13.34,5.058,6025,1,0,0,0
