,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,ID,DEJ2000,w1_err,e_gmag,e_rmag,objtype_SIMBAD,w1,e_umag,Fe_type,h,h_err,k_err,e_imag,e_Hamag,Halpha_type,e_Kmag,e_Jmag,RAJ2000,e_Hmag,k,objtype_Hou
90,15.268,14.549,13.65,13.33,13.25,12.782,12.636,12.489,0.29479653679653844,-0.05802339181286387,0.05735981308411375,1.2287602339181287,1.2292149532710281,1.83781308411215,0.7137368421052621,0.7139532710280364,1.1595607476635508,0.29757009345794416,0.021098039215688397,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,J061658.93+251525.8,25.257194,0.024,0.011,0.0,,12.323,0.005,,12.636,0.023,0.024,0.0,0.0,I,0.024,0.021,94.245542,0.023,12.489,CBe
91,16.877,15.644,14.61,13.76,13.92,12.466,12.017,11.563,0.7450952380952366,0.03208771929824428,0.35488785046728855,1.2330818713450293,1.5963457943925234,3.3173738317757,0.5418947368421063,0.7147943925233655,2.0028785046728976,0.8948598130841119,0.06324836601307277,umag_gmag_imag | umag_gmag_Hamag,J055820.80+225246.0,22.879454,0.023,0.003,0.0,,11.158,0.008,unclassify,12.017,0.021,0.019,0.0,0.0,I,0.019,0.025,89.586701,0.021,11.563,CBe
94,23.028,21.13,19.33,18.29,18.89,16.676,15.83,15.471,1.0486493506493502,0.0877076023391814,0.7570654205607483,2.43297076023392,3.2703364485981337,5.48940186915888,1.1978947368421067,1.596448598130843,3.2857943925233655,1.2082242990654202,0.5409673202614362,umag_gmag_imag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag | Jmag_Hmag_Kmag,J053411.98+290903.2,29.150907,0.047,0.033,0.04,,15.449,0.3,,15.83,0.12,0.146,0.03,0.04,II,0.146,0.112,83.54995,0.12,15.471,CBe
102,19.226,17.632,16.95,16.39,16.68,15.597,15.25,15.661,1.2721904761904728,0.8023157894736814,1.1091028037383146,1.5948304093567267,2.013570093457944,3.1991775700934553,0.3577894736842135,0.5570934579439276,1.4574672897196264,0.6413084112149517,0.6962156862745089,Jmag_Hmag_Kmag,J052555.00+294629.5,29.774865,0.044,0.005,0.01,,15.185,0.027,,15.25,0.082,0.188,0.01,0.01,II,0.188,0.056,81.479192,0.082,15.661,CBe
107,14.73,13.554,13.13,12.37,12.59,11.846,11.728,11.665,0.9759307359307363,0.42128654970760193,0.6849906542056075,0.6755555555555535,1.0751401869158868,2.6355140186915906,-0.016000000000001346,0.1741869158878496,1.3474579439252352,0.821682242990656,0.06447058823529393,umag_rmag_imag,J035459.00+521445.3,52.245931,0.024,0.003,0.0,,11.608,0.004,,11.728,0.029,0.027,0.0,0.0,II,0.027,0.022,58.745852,0.029,11.665,CBe
116,15.352,15.684,13.26,12.97,12.94,12.639,12.618,12.535,-1.4757922077922063,-2.0619766081871322,-1.7296448598130827,1.7392514619883057,1.7809719626168228,2.344429906542054,2.256105263157895,2.2759626168224294,2.6917102803738295,0.2815887850467278,-0.04952287581699459,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,J052423.13+283541.6,28.594889,0.024,0.012,0.0,,12.254,0.007,,12.618,0.031,0.024,0.0,0.0,II,0.024,0.023,81.096375,0.031,12.535,CBe
117,16.494,15.355,14.13,13.74,13.92,13.107,12.946,12.862,0.5609696969696966,0.10955555555555496,0.4080887850467282,1.8896140350877177,2.159887850467288,2.9794205607476627,0.9992105263157889,1.127850467289719,1.7487383177570093,0.4404672897196267,0.08962745098039207,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag,J052153.85+284203.6,28.701011,0.025,0.005,0.0,,12.812,0.008,,12.946,0.025,0.025,0.0,0.0,II,0.025,0.021,80.474386,0.025,12.862,CBe
131,18.326,16.863,16.49,16.08,16.35,15.5,15.318,15.709,1.2869956709956714,0.9638947368421056,1.2017056074766375,1.3372865497076043,1.6999252336448647,2.5841308411215014,0.1356315789473695,0.3082336448598156,0.9836074766355176,0.4857009345794403,0.5142222222222226,Jmag_Hmag_Kmag,J052601.70+294523.3,29.756495,0.046,0.004,0.01,,15.259,0.016,,15.318,0.085,0.188,0.01,0.01,II,0.188,0.05,81.507108,0.085,15.709,CBe
132,24.635,17.203,16.66,16.17,16.48,15.515,15.3,15.175,7.175779220779224,6.77353801169591,7.063742990654208,7.378976608187138,7.800046728971965,8.853224299065419,0.25931578947368444,0.45972897196261625,1.263327102803735,0.5769158878504654,0.10879084967320249,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag,J052530.75+293821.3,29.639252,0.042,0.005,0.01,,15.104,1.578,,15.3,0.105,0.118,0.01,0.01,II,0.118,0.061,81.378157,0.105,15.175,CBe
141,20.197,17.7,16.03,14.9,15.64,13.202,12.57,12.313,1.708991341991343,0.712204678362574,1.4477476635514026,2.7924970760233894,3.78793457943925,6.223728971962616,1.0157894736842084,1.4895794392523345,3.3498130841121485,1.3374766355140195,0.41363398692810455,umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,J053903.41+300817.1,30.13809,0.024,0.005,0.0,,12.027,0.051,,12.57,0.023,0.023,0.0,0.0,II,0.023,0.025,84.764247,0.023,12.313,CBe
150,19.074,17.323,16.82,16.36,16.68,15.647,15.323,15.817,1.5136536796536808,1.1371578947368428,1.4234906542056085,1.6944678362573105,2.1179252336448604,3.1147476635514044,0.23668421052631544,0.438233644859813,1.2007570093457955,0.5497196261682252,0.7437385620915029,Jmag_Hmag_Kmag,J052254.99+284157.4,28.699299,0.044,0.005,0.01,,15.307,0.023,,15.323,0.097,0.206,0.01,0.01,II,0.206,0.059,80.72916,0.097,15.817,CBe
158,17.738,15.079,13.41,12.72,13.01,11.528,10.906,10.716,1.8714632034632022,1.155309941520467,1.6051635514018678,3.488701754385965,3.939214953271027,5.381177570093456,1.2695263157894745,1.4839532710280379,2.5744672897196255,0.7713084112149525,0.46056209150326677,umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,J064917.52+100126.8,10.024136,0.023,0.006,0.0,,10.489,0.013,,10.906,0.027,0.026,0.0,0.0,II,0.026,0.029,102.32302,0.027,10.716,CBe
