,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,em,RA,B-TS2,W1mag,DEC,BeC1,Type,objtype,BeC,class,EM2,ID,W2mag,Be_EM2,BeC2,SpT,Ref,B-TS1,GroupSize,EM1,GroupID,EMobj,obsid,subclass,PStar,B-TS
85,11.71,12.49,11.95,11.02,8.470999717712402,8.431,8.471,8.541,0,77.928875,,8.595,42.1653555555556,0,Be,,0,,1,SX Aur,8.641,1,0,B1Vne-B1:V:ne,BeSS-Chen2019,1,,,,,,,1.0,1
86,11.42,12.28,10.82,10.19,7.269000053405762,7.423,7.269,7.021,0,84.7417083333333,,6.85,28.4601361111111,0,Be,,0,,1,V1163 Tau,6.472,1,0,B1Vne-B1?Vne,BeSS-Chen2019,1,,,,,,,1.0,1
87,11.62,12.18,12.12,10.41,8.086000442504883,8.106,8.086,8.087,0,0.410958333333333,,8.049,60.4499222222222,0,Be,,0,,1,HD 224905,8.07,1,0,B1Vne-B1Vn,BeSS-Chen2019,1,,,,,,,1.0,1
89,11.18,12.01,12.23,10.56,9.454999923706056,9.476,9.455,9.397,0,307.334083333333,,7.944,46.6663944444444,0,Be,,0,,1,BD+46 2948,7.716,1,0,B1Vnne-B1V:nne,BeSS-Chen2019,1,,,,,,,1.0,1
90,11.66,12.52,12.17,10.48,10.59,7.935,7.851,7.648,0,81.4365833333333,,7.061,35.6472,0,Be,,0,,1,HD 35345,6.664,1,0,B1Vpe-B1.5,BeSS-Chen2019,1,,,,,,,1.0,1
91,11.64,12.49,12.1,11.04,8.156000137329102,8.377,8.156,7.889,0,83.5904166666667,,8.35,35.8135916666667,0,Be,,0,,1,BD+35 1169,8.301,1,0,B1Vpe-B1:V:ep,BeSS-Chen2019,1,,,,,,,1.0,1
92,11.52,12.43,12.0,10.36,10.28,7.788,7.622,7.309,0,350.07925,,6.862,55.8078,0,Be,,0,,1,V810 Cas,6.503,1,0,B1npe-B1:nep,BeSS-Chen2019,1,,,,,,,1.0,1
93,11.55,12.42,10.68,10.18,9.020999908447266,9.118,9.021,8.935,0,25.5587083333333,,8.994,63.6074666666667,0,Be,,0,,1,BD+62 292,8.999,1,0,B1pe-B1:ep,BeSS-Chen2019,1,,,,,,,1.0,1
96,1.0,12.19,12.02,10.38,8.819000244140625,8.85,8.819,8.691,0,326.141708333333,,8.395,59.05715,0,Be,,0,,1,V435 Cep,8.185,1,0,B2IIInne-B0,BeSS-Chen2019,1,,,,,,,1.0,1
97,11.65,12.44,10.8,10.29,9.277999877929688,9.425,9.278,9.169,0,26.497125,,8.463,61.2126888888889,0,Be,,0,,1,V977 Cas,8.287,1,0,B2IVe-B0/1Ve,BeSS-Chen2019,1,,,,,,,1.0,1
98,11.77,12.48,11.96,10.13,9.270000457763672,9.281,9.27,9.311,0,341.326791666667,,8.315,57.8518,0,Be,,0,,1,HD 215605,8.085,1,0,B2IVnne-B0:e,BeSS-Chen2019,1,,,,,,,1.0,1
99,11.69,12.43,10.89,10.52,9.192999839782717,9.393,9.193,8.967,0,1.888125,,8.815,63.0803277777778,0,Be,,0,,1,BD+62 1,8.549,1,0,B2IVpe-O9,BeSS-Chen2019,1,,,,,,,1.0,1
100,11.47,12.42,11.06,10.6,9.81999969482422,9.911,9.82,9.814,0,21.827,,9.302,60.1148972222222,0,Be,,0,,1,BD+59 250,9.151,1,0,B2Ve-B0,BeSS-Chen2019,1,,,,,,,1.0,1
101,1.0,12.25,11.15,10.76,9.536999702453612,9.705,9.537,9.388,0,27.096125,,8.625,61.2647194444444,0,Be,,0,,1,Cl* NGC 663 SAN 27,8.369,1,0,B2Ve-B0,BeSS-Chen2019,1,,,,,,,1.0,1
