,a,b,f1
245,umag_gmag_Hmag,rmag_imag_Hamag,0.6704980842911877
318,umag_rmag_imag,umag_rmag_Kmag,0.6692913385826773
322,umag_rmag_imag,umag_imag_Kmag,0.6679920477137177
337,umag_rmag_imag,gmag_imag_Kmag,0.6679841897233203
664,umag_imag_Hmag,rmag_Hamag_Hmag,0.6679316888045541
435,umag_rmag_Jmag,gmag_Hamag_Kmag,0.6666666666666667
347,umag_rmag_imag,rmag_imag_Kmag,0.6666666666666666
396,umag_rmag_Hamag,rmag_Hamag_Jmag,0.6654135338345866
325,umag_rmag_imag,umag_Hamag_Kmag,0.6653620352250489
276,umag_gmag_Kmag,umag_Hamag_Kmag,0.6653061224489796
804,umag_Hamag_Kmag,gmag_rmag_Jmag,0.6640625
327,umag_rmag_imag,umag_Jmag_Kmag,0.6639344262295083
870,umag_Jmag_Hmag,Hamag_Jmag_Hmag,0.6638830897703548
17,umag_gmag_rmag,umag_Jmag_Hmag,0.6638115631691649
247,umag_gmag_Hmag,rmag_imag_Hmag,0.6637554585152837
785,umag_Hamag_Hmag,rmag_Hamag_Kmag,0.6628787878787878
300,umag_gmag_Kmag,rmag_Hamag_Hmag,0.6627218934911242
249,umag_gmag_Hmag,rmag_Hamag_Jmag,0.6626506024096385
554,umag_imag_Hamag,umag_Hamag_Hmag,0.6614785992217899
771,umag_Hamag_Hmag,gmag_imag_Hmag,0.6613861386138614
596,umag_imag_Jmag,umag_Hamag_Jmag,0.6612903225806451
599,umag_imag_Jmag,umag_Jmag_Hmag,0.6611570247933883
652,umag_imag_Hmag,gmag_imag_Kmag,0.6610169491525424
670,umag_imag_Hmag,imag_Hamag_Hmag,0.6600397614314115
306,umag_gmag_Kmag,imag_Hamag_Hmag,0.6594827586206896
867,umag_Jmag_Hmag,imag_Jmag_Hmag,0.6581740976645436
333,umag_rmag_imag,gmag_rmag_Kmag,0.6575875486381323
745,umag_Hamag_Jmag,rmag_Hamag_Hmag,0.65748031496063
694,umag_imag_Kmag,gmag_Hamag_Jmag,0.65748031496063
317,umag_rmag_imag,umag_rmag_Hmag,0.6571428571428573
585,umag_imag_Hamag,imag_Hamag_Hmag,0.6571428571428573
398,umag_rmag_Hamag,rmag_Hamag_Kmag,0.6566037735849056
298,umag_gmag_Kmag,rmag_imag_Kmag,0.6563876651982378
179,umag_gmag_Jmag,gmag_rmag_imag,0.6563192904656319
336,umag_rmag_imag,gmag_imag_Hmag,0.6558704453441295
289,umag_gmag_Kmag,gmag_Hamag_Jmag,0.6558704453441295
627,umag_imag_Jmag,imag_Hamag_Jmag,0.6551724137931034
555,umag_imag_Hamag,umag_Hamag_Kmag,0.6549019607843137
861,umag_Jmag_Hmag,rmag_Jmag_Hmag,0.653927813163482
51,umag_gmag_rmag,Hamag_Jmag_Hmag,0.653763440860215
340,umag_rmag_imag,gmag_Hamag_Kmag,0.6536203522504893
551,umag_imag_Hamag,umag_imag_Hmag,0.6517311608961304
375,umag_rmag_Hamag,umag_Jmag_Kmag,0.6514522821576764
48,umag_gmag_rmag,imag_Jmag_Hmag,0.6511627906976745
728,umag_Hamag_Jmag,gmag_rmag_Hmag,0.6510791366906474
42,umag_gmag_rmag,rmag_Jmag_Hmag,0.6509635974304069
703,umag_imag_Kmag,rmag_imag_Kmag,0.6508875739644971
387,umag_rmag_Hamag,gmag_Hamag_Hmag,0.6504065040650406
414,umag_rmag_Jmag,umag_imag_Hamag,0.6497064579256361
218,umag_gmag_Hmag,umag_rmag_Hmag,0.6494623655913978
364,umag_rmag_Hamag,umag_rmag_Jmag,0.6494023904382471
388,umag_rmag_Hamag,gmag_Hamag_Kmag,0.6478873239436621
350,umag_rmag_imag,rmag_Hamag_Kmag,0.6475095785440614
354,umag_rmag_imag,imag_Hamag_Jmag,0.6469428007889546
339,umag_rmag_imag,gmag_Hamag_Hmag,0.6469428007889546
733,umag_Hamag_Jmag,gmag_imag_Kmag,0.6465364120781528
790,umag_Hamag_Hmag,imag_Hamag_Hmag,0.6459016393442624
943,umag_Hmag_Kmag,Hamag_Hmag_Kmag,0.6450381679389313
352,umag_rmag_imag,rmag_Jmag_Kmag,0.6443514644351465
282,umag_gmag_Kmag,gmag_rmag_Jmag,0.6439232409381663
829,umag_Hamag_Kmag,imag_Hamag_Kmag,0.6436781609195402
524,umag_rmag_Kmag,gmag_Hamag_Jmag,0.642570281124498
