VPHAS-OB1,RAJ2000,DEJ2000,Rv,goodOB,EM,SUB,LUM,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,W1mag,W2mag,u-g,u-r,u-i,g-r,g-i,r-Ha,r-i,J-H,J-K,H-K,W1-W2
11253,165.889804,-60.684469,3.572,1,0,0,0,15.552,15.509,14.23,13.932,13.518,12.279,11.945,11.775,11.678,11.793,0.043,1.322,2.034,1.279,1.991,0.298,0.712,0.334,0.504,0.17,-0.115
11257,165.346449,-61.279084,3.807,1,0,0,0,19.509,19.033,17.415,17.005,16.38,14.636,14.07,13.845,13.328,13.518,0.476,2.094,3.129,1.618,2.653,0.41,1.035,0.566,0.791,0.225,-0.19
11260,165.517135,-61.09678,3.986,1,0,0,0,18.499,18.191,16.605,16.256,15.684,13.898,13.339,13.095,12.897,12.956,0.308,1.894,2.815,1.586,2.507,0.349,0.921,0.559,0.803,0.244,-0.059
11261,165.56343,-61.046803,3.769,1,0,0,0,14.028,14.392,13.32,13.008,12.681,11.631,11.335,11.188,10.923,10.909,-0.364,0.708,1.347,1.072,1.711,0.312,0.639,0.296,0.443,0.147,0.014
11266,165.511453,-61.110065,3.868,1,0,0,0,14.753,14.917,13.662,13.344,12.936,11.624,11.238,11.043,10.816,10.783,-0.164,1.091,1.817,1.255,1.981,0.318,0.726,0.386,0.581,0.195,0.033
11272,165.363156,-61.278791,3.721,1,0,0,0,17.259,16.947,15.627,15.296,14.808,13.468,13.014,12.809,12.737,13.025,0.312,1.632,2.451,1.32,2.139,0.331,0.819,0.454,0.659,0.205,-0.288
11293,166.327906,-60.232214,3.457,1,0,0,1,18.588,17.497,15.437,15.027,14.265,12.238,11.676,11.35,11.013,10.992,1.091,3.151,4.323,2.06,3.232,0.41,1.172,0.562,0.888,0.326,0.021
11302,165.957682,-60.668322,4.075,1,0,0,0,18.858,18.355,16.74,16.402,15.78,13.9,13.316,13.013,12.594,12.612,0.503,2.118,3.078,1.615,2.575,0.338,0.96,0.584,0.887,0.303,-0.018
11303,165.571941,-61.093044,3.761,1,0,0,0,16.918,16.908,15.868,15.59,15.266,14.216,13.877,13.746,13.891,14.765,0.01,1.05,1.652,1.04,1.642,0.278,0.602,0.339,0.47,0.131,-0.874
11305,165.644546,-61.020179,3.656,1,0,0,0,15.175,15.266,14.243,13.959,13.636,12.592,12.374,12.18,12.105,12.2,-0.091,0.932,1.539,1.023,1.63,0.284,0.607,0.218,0.412,0.194,-0.095
11309,166.220576,-60.393298,3.698,1,0,0,1,16.818,15.976,13.99,13.58,12.861,10.778,10.19,9.827,9.566,9.498,0.842,2.828,3.957,1.986,3.115,0.41,1.129,0.588,0.951,0.363,0.068
11322,165.33384,-61.379461,3.848,1,0,0,0,17.242,17.215,16.041,15.712,15.322,14.091,13.704,13.51,13.327,13.391,0.027,1.201,1.92,1.174,1.893,0.329,0.719,0.387,0.581,0.194,-0.064
11327,166.15405,-60.48614,3.577,1,0,0,0,16.866,16.764,15.475,15.195,14.755,13.502,13.204,12.967,12.847,13.055,0.102,1.391,2.111,1.289,2.009,0.28,0.72,0.298,0.535,0.237,-0.208
11338,166.09389,-60.570445,3.049,1,0,0,0,12.637,13.333,12.947,12.826,12.745,12.596,12.572,12.525,12.49,12.659,-0.696,-0.31,-0.108,0.386,0.588,0.121,0.202,0.024,0.071,0.047,-0.169
11348,166.156769,-60.512682,3.061,1,0,0,0,18.303,17.718,15.993,15.797,15.25,13.909,13.534,13.336,13.308,13.556,0.585,2.31,3.053,1.725,2.468,0.196,0.743,0.375,0.573,0.198,-0.248
11352,166.064848,-60.622054,3.684,1,0,0,0,17.438,17.271,16.095,15.804,15.407,14.282,13.866,13.671,13.668,13.974,0.167,1.343,2.031,1.176,1.864,0.291,0.688,0.416,0.611,0.195,-0.306
11360,165.67158,-61.07715,3.792,1,0,0,0,16.778,16.716,15.421,15.098,14.66,13.267,12.926,12.688,12.68,12.721,0.062,1.357,2.118,1.295,2.056,0.323,0.761,0.341,0.579,0.238,-0.041
11365,166.569845,-60.078201,3.662,1,0,0,0,17.619,17.215,15.778,15.455,14.957,13.464,13.071,12.845,12.466,12.474,0.404,1.841,2.662,1.437,2.258,0.323,0.821,0.393,0.619,0.226,-0.008
11371,165.350574,-61.44053,3.482,1,0,0,0,13.138,13.664,13.267,13.059,12.913,12.613,12.535,12.459,12.328,12.374,-0.526,-0.129,0.225,0.397,0.751,0.208,0.354,0.078,0.154,0.076,-0.046
11375,165.740182,-61.027699,3.687,1,0,0,0,18.881,18.152,16.374,15.995,15.33,13.403,12.903,12.636,12.273,12.383,0.729,2.507,3.551,1.778,2.822,0.379,1.044,0.5,0.767,0.267,-0.11
11376,165.686797,-61.087293,3.911,1,0,0,0,16.865,16.556,14.959,14.595,14.022,12.286,11.727,11.466,11.049,11.081,0.309,1.906,2.843,1.597,2.534,0.364,0.937,0.559,0.82,0.261,-0.032
11387,166.096294,-60.650393,3.829,1,0,0,0,20.56,19.811,17.837,17.476,16.734,14.501,13.937,13.654,13.381,13.688,0.749,2.723,3.826,1.974,3.077,0.361,1.103,0.564,0.847,0.283,-0.307
11394,165.372281,-61.447899,3.71,1,0,0,0,17.467,17.067,15.512,15.184,14.628,13.016,12.534,12.312,12.016,12.039,0.4,1.955,2.839,1.555,2.439,0.328,0.884,0.482,0.704,0.222,-0.023
11401,165.52652,-61.294835,3.702,1,0,0,0,15.761,15.992,15.004,14.748,14.446,13.548,13.283,13.034,13.058,13.242,-0.231,0.757,1.315,0.988,1.546,0.256,0.558,0.265,0.514,0.249,-0.184
11404,165.672713,-61.139045,3.888,1,0,0,0,19.037,18.594,16.948,16.587,15.97,14.069,13.62,13.313,13.3,13.157,0.443,2.089,3.067,1.646,2.624,0.361,0.978,0.449,0.756,0.307,0.143
11409,166.547551,-60.161795,3.655,1,0,0,0,16.756,16.593,15.238,14.975,14.503,13.101,12.771,12.594,12.6,12.596,0.163,1.518,2.253,1.355,2.09,0.263,0.735,0.33,0.507,0.177,0.004
11426,165.919584,-60.900815,3.47,1,0,0,0,12.54,13.194,12.918,12.776,12.752,12.562,12.536,12.541,12.583,12.709,-0.654,-0.378,-0.212,0.276,0.442,0.142,0.166,0.026,0.021,-0.005,-0.126
11434,165.990659,-60.842253,3.832,1,0,0,0,16.464,16.143,14.667,14.321,13.824,12.253,11.799,11.516,11.277,11.037,0.321,1.797,2.64,1.476,2.319,0.346,0.843,0.454,0.737,0.283,0.24
11436,165.404096,-61.482474,3.518,1,0,0,0,13.597,14.148,13.484,13.17,13.05,12.539,12.351,12.259,11.673,11.584,-0.551,0.113,0.547,0.664,1.098,0.314,0.434,0.188,0.28,0.092,0.089
11447,165.600546,-61.287841,3.774,1,0,0,0,16.115,16.19,15.072,14.774,14.404,13.254,12.906,12.757,12.579,12.653,-0.075,1.043,1.711,1.118,1.786,0.298,0.668,0.348,0.497,0.149,-0.074
11449,165.747149,-61.132672,3.623,1,0,0,0,15.084,15.221,14.197,13.93,13.584,12.563,12.315,12.164,12.161,12.334,-0.137,0.887,1.5,1.024,1.637,0.267,0.613,0.248,0.399,0.151,-0.173
11451,165.615121,-61.278545,3.818,1,0,0,0,16.877,16.804,15.566,15.228,14.808,13.492,13.082,12.951,12.577,12.76,0.073,1.311,2.069,1.238,1.996,0.338,0.758,0.41,0.541,0.131,-0.183
11470,165.701223,-61.208986,3.692,1,0,0,0,15.046,15.044,13.87,13.551,13.195,12.04,11.7,11.507,11.341,11.4,0.002,1.176,1.851,1.174,1.849,0.319,0.675,0.34,0.533,0.193,-0.059
11478,165.637511,-61.292861,3.496,1,0,0,0,14.624,14.966,14.158,13.912,13.684,12.944,12.764,12.696,12.581,12.775,-0.342,0.466,0.94,0.808,1.282,0.246,0.474,0.18,0.248,0.068,-0.194
11486,164.78707,-62.198455,3.471,1,0,0,0,14.159,14.702,14.34,14.137,14.05,13.816,13.726,13.655,13.799,14.483,-0.543,-0.181,0.109,0.362,0.652,0.203,0.29,0.09,0.161,0.071,-0.684
11490,165.868685,-61.067963,3.623,1,0,0,0,16.858,16.622,15.399,15.109,14.678,13.429,13.103,12.924,12.464,12.581,0.236,1.459,2.18,1.223,1.944,0.29,0.721,0.326,0.505,0.179,-0.117
11507,165.974416,-60.991001,3.733,1,0,0,1,16.754,16.149,14.43,14.018,13.462,11.647,11.119,10.836,10.499,10.483,0.605,2.324,3.292,1.719,2.687,0.412,0.968,0.528,0.811,0.283,0.016
11510,166.314054,-60.614562,3.725,1,0,0,0,18.073,17.733,16.286,15.916,15.412,13.871,13.434,13.259,13.024,13.275,0.34,1.787,2.661,1.447,2.321,0.37,0.874,0.437,0.612,0.175,-0.251
11512,166.575227,-60.319771,3.305,1,0,0,0,13.931,14.305,13.705,13.551,13.416,12.933,12.861,12.785,12.585,12.758,-0.374,0.226,0.515,0.6,0.889,0.154,0.289,0.072,0.148,0.076,-0.173
11518,165.848932,-61.143164,3.749,1,0,0,0,17.578,17.365,16.134,15.849,15.419,14.146,13.791,13.556,13.252,13.566,0.213,1.444,2.159,1.231,1.946,0.285,0.715,0.355,0.59,0.235,-0.314
11534,165.228601,-61.834549,3.448,1,0,0,0,15.521,15.8,14.983,14.722,14.458,13.787,13.577,13.436,13.414,13.62,-0.279,0.538,1.063,0.817,1.342,0.261,0.525,0.21,0.351,0.141,-0.206
